term,overlap,set_size,query_size,p,genes,FDR,fold,direction,library
Sensory Perception Of Mechanical Stimulus (GO:0050954),1,47,264,0.6401980537092637,SERPINB6,0.7215011611691462,0.9908123791102516,Up,GO_BP
Positive Regulation Of Endocytosis (GO:0045807),1,47,264,0.6401980537092637,B2M,0.7215011611691462,0.9908123791102516,Up,GO_BP
Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434),2,101,264,0.6421038572630702,RNF144A;STUB1,0.7224948505567719,0.9221422142214221,Up,GO_BP
Actin Filament Organization (GO:0007015),2,101,264,0.6421038572630702,MARCKS;SVIL,0.7224948505567719,0.9221422142214221,Up,GO_BP
Protein Dephosphorylation (GO:0006470),2,102,264,0.6474373007858232,CDC14B;PTPRH,0.725605688642306,0.9131016042780749,Up,GO_BP
Muscle Contraction (GO:0006936),1,48,264,0.6479540522248799,BDKRB2,0.725605688642306,0.9701704545454546,Up,GO_BP
Protein Secretion (GO:0009306),1,48,264,0.6479540522248799,STEAP3,0.725605688642306,0.9701704545454546,Up,GO_BP
Negative Regulation Of Autophagy (GO:0010507),1,48,264,0.6479540522248799,NRBP2,0.725605688642306,0.9701704545454546,Up,GO_BP
Regulation Of miRNA Transcription (GO:1902893),1,48,264,0.6479540522248799,KLF4,0.725605688642306,0.9701704545454546,Up,GO_BP
Protein Polymerization (GO:0051258),1,48,264,0.6479540522248799,MICALL2,0.725605688642306,0.9701704545454546,Up,GO_BP
Regulation Of Autophagy (GO:0010506),4,206,264,0.6493985707131118,DEPP1;OPTN;TICAM1;ULK1,0.7266466163966699,0.9042365401588703,Up,GO_BP
Negative Regulation Of Cytokine Production (GO:0001818),2,103,264,0.6527078028559165,KLF4;TNFAIP3,0.7291929610686445,0.9042365401588703,Up,GO_BP
Nitrogen Compound Transport (GO:0071705),2,103,264,0.6527078028559165,RAMP1;SNX7,0.7291929610686445,0.9042365401588703,Up,GO_BP
Positive Regulation Of Phosphorylation (GO:0042327),3,156,264,0.6550722834766931,KNDC1;MOB3A;TNIK,0.7300488161109041,0.895541958041958,Up,GO_BP
Potassium Ion Transmembrane Transport (GO:0071805),1,49,264,0.6555434798104292,KCNH2,0.7300488161109041,0.9503710575139146,Up,GO_BP
Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),1,49,264,0.6555434798104292,LIF,0.7300488161109041,0.9503710575139146,Up,GO_BP
Regulation Of Rho Protein Signal Transduction (GO:0035023),1,49,264,0.6555434798104292,F2R,0.7300488161109041,0.9503710575139146,Up,GO_BP
Positive Regulation Of Gene Expression (GO:0010628),6,310,264,0.6588245872083782,BMP7;KLF4;NOX5;PID1;TICAM1;WNT5A,0.7331030485084621,0.9013196480938417,Up,GO_BP
Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),3,157,264,0.6593251371773482,CDK14;WNK2;WNT5A,0.7331030485084621,0.8898378691372323,Up,GO_BP
Regulation Of Insulin Secretion (GO:0050796),1,50,264,0.6629699004988768,DOC2B,0.735995695990492,0.9313636363636364,Up,GO_BP
Response To Metal Ion (GO:0010038),1,50,264,0.6629699004988768,KCNMA1,0.735995695990492,0.9313636363636364,Up,GO_BP
Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),2,106,264,0.6681440824224063,ERGIC1;KDELR3,0.7394090133824964,0.8786449399656947,Up,GO_BP
Phosphatidylinositol Metabolic Process (GO:0046488),1,51,264,0.6702368023502572,PIP4P2,0.7394090133824964,0.9131016042780749,Up,GO_BP
Positive Regulation Of Cell-Substrate Adhesion (GO:0010811),1,51,264,0.6702368023502572,MYADM,0.7394090133824964,0.9131016042780749,Up,GO_BP
Actomyosin Structure Organization (GO:0031032),1,51,264,0.6702368023502572,TNNT1,0.7394090133824964,0.9131016042780749,Up,GO_BP
Peptidyl-Threonine Phosphorylation (GO:0018107),1,51,264,0.6702368023502572,ULK1,0.7394090133824964,0.9131016042780749,Up,GO_BP
Autophagosome Organization (GO:1905037),1,51,264,0.6702368023502572,ULK1,0.7394090133824964,0.9131016042780749,Up,GO_BP
Long-Chain Fatty Acid Metabolic Process (GO:0001676),1,51,264,0.6702368023502572,PLA2G4C,0.7394090133824964,0.9131016042780749,Up,GO_BP
Calcium Ion Transmembrane Transport (GO:0070588),1,51,264,0.6702368023502572,PKD1,0.7394090133824964,0.9131016042780749,Up,GO_BP
Positive Regulation Of GTPase Activity (GO:0043547),3,160,264,0.6718570952171725,ARHGEF16;F2R;RGS11,0.740617469805805,0.8731534090909091,Up,GO_BP
Negative Regulation Of Cellular Catabolic Process (GO:0031330),1,52,264,0.6773475990650761,MFSD2A,0.7455050407806727,0.895541958041958,Up,GO_BP
Extrinsic Apoptotic Signaling Pathway (GO:0097191),1,52,264,0.6773475990650761,CASP8,0.7455050407806727,0.895541958041958,Up,GO_BP
Positive Regulation Of Protein Kinase Activity (GO:0045860),2,108,264,0.6781249852247091,MAP2K3;RASSF2,0.7457789198379302,0.8623737373737373,Up,GO_BP
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),1,53,264,0.6843056315635911,ID1,0.7490731156991677,0.8786449399656947,Up,GO_BP
Regulation Of Fat Cell Differentiation (GO:0045598),1,53,264,0.6843056315635911,WNT5A,0.7490731156991677,0.8786449399656947,Up,GO_BP
Fatty Acid Catabolic Process (GO:0009062),1,53,264,0.6843056315635911,LPIN2,0.7490731156991677,0.8786449399656947,Up,GO_BP
Mitotic DNA Damage Checkpoint Signaling (GO:0044773),1,53,264,0.6843056315635911,CDC14B,0.7490731156991677,0.8786449399656947,Up,GO_BP
Monoatomic Cation Homeostasis (GO:0055080),1,53,264,0.6843056315635911,KCNH2,0.7490731156991677,0.8786449399656947,Up,GO_BP
Regulation Of Embryonic Development (GO:0045995),1,53,264,0.6843056315635911,PHLDB2,0.7490731156991677,0.8786449399656947,Up,GO_BP
Wnt Signaling Pathway (GO:0016055),1,54,264,0.6911141695316665,WNT5A,0.7530209213970512,0.8623737373737373,Up,GO_BP
mRNA Transport (GO:0051028),1,54,264,0.6911141695316665,KIF5C,0.7530209213970512,0.8623737373737373,Up,GO_BP
Regulation Of Kinase Activity (GO:0043549),1,54,264,0.6911141695316665,NLRC5,0.7530209213970512,0.8623737373737373,Up,GO_BP
Signal Transduction In Response To DNA Damage (GO:0042770),1,54,264,0.6911141695316665,DTX3L,0.7530209213970512,0.8623737373737373,Up,GO_BP
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),1,54,264,0.6911141695316665,CREB3L1,0.7530209213970512,0.8623737373737373,Up,GO_BP
G1/S Transition Of Mitotic Cell Cycle (GO:0000082),1,54,264,0.6911141695316665,CDK14,0.7530209213970512,0.8623737373737373,Up,GO_BP
Negative Regulation Of Protein Metabolic Process (GO:0051248),2,111,264,0.6926376272819941,CST3;PLAT,0.7540985278509982,0.8390663390663391,Up,GO_BP
Negative Regulation Of Cellular Component Organization (GO:0051129),1,55,264,0.6977764129339248,ULK1,0.7561924106373025,0.846694214876033,Up,GO_BP
Purine Ribonucleotide Metabolic Process (GO:0009150),1,55,264,0.6977764129339248,PTHLH,0.7561924106373025,0.846694214876033,Up,GO_BP
Regulation Of Actin Filament-Based Process (GO:0032970),1,55,264,0.6977764129339248,SLC4A2,0.7561924106373025,0.846694214876033,Up,GO_BP
Autophagosome Assembly (GO:0000045),1,55,264,0.6977764129339248,ULK1,0.7561924106373025,0.846694214876033,Up,GO_BP
post-Golgi Vesicle-Mediated Transport (GO:0006892),1,55,264,0.6977764129339248,OSBPL5,0.7561924106373025,0.846694214876033,Up,GO_BP
Establishment Of Protein Localization To Membrane (GO:0090150),1,55,264,0.6977764129339248,RFTN1,0.7561924106373025,0.846694214876033,Up,GO_BP
Glucose Homeostasis (GO:0042593),1,56,264,0.7042954934948733,PYGL,0.7620866114426889,0.8315746753246753,Up,GO_BP
Cellular Response To Hormone Stimulus (GO:0032870),1,56,264,0.7042954934948733,RAMP1,0.7620866114426889,0.8315746753246753,Up,GO_BP
Ras Protein Signal Transduction (GO:0007265),2,114,264,0.7066082223948831,ARHGDIG;TNFRSF25,0.7634182249610872,0.8169856459330144,Up,GO_BP
Dephosphorylation (GO:0016311),2,114,264,0.7066082223948831,CDC14B;PTPRH,0.7634182249610872,0.8169856459330144,Up,GO_BP
Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),1,57,264,0.7106744761486852,UBE2E2,0.7654669357601487,0.8169856459330144,Up,GO_BP
Telomere Organization (GO:0032200),1,57,264,0.7106744761486852,SP100,0.7654669357601487,0.8169856459330144,Up,GO_BP
Regulation Of Cellular Catabolic Process (GO:0031329),1,57,264,0.7106744761486852,DEPP1,0.7654669357601487,0.8169856459330144,Up,GO_BP
Positive Regulation Of MAP Kinase Activity (GO:0043406),1,57,264,0.7106744761486852,WNT5A,0.7654669357601487,0.8169856459330144,Up,GO_BP
Protein Localization To Nucleus (GO:0034504),2,116,264,0.7156259024143536,BMP7;NUAK2,0.7696251130386075,0.8028996865203761,Up,GO_BP
Intracellular Monoatomic Cation Homeostasis (GO:0030003),2,116,264,0.7156259024143536,B2M;KCNMA1,0.7696251130386075,0.8028996865203761,Up,GO_BP
Positive Regulation Of Cell Cycle (GO:0045787),1,58,264,0.7169163604582991,PKD1,0.7698394098985236,0.8028996865203761,Up,GO_BP
Peptidyl-Threonine Modification (GO:0018210),1,58,264,0.7169163604582991,ULK1,0.7698394098985236,0.8028996865203761,Up,GO_BP
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),4,227,264,0.7224868735758888,CDC14B;RABL2B;TNIK;TTLL3,0.7746294454884698,0.8205847016419704,Up,GO_BP
Regulation Of Hydrolase Activity (GO:0051336),1,59,264,0.7230240820044753,PLXNA3,0.7746294454884698,0.789291217257319,Up,GO_BP
Positive Regulation Of DNA Biosynthetic Process (GO:2000573),1,59,264,0.7230240820044753,KLF4,0.7746294454884698,0.789291217257319,Up,GO_BP
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),6,333,264,0.7245874639346659,DTX3L;KCTD17;RNF144A;STUB1;TNFAIP3;UBE2H,0.7757154109346082,0.8390663390663391,Up,GO_BP
Positive Regulation Of Hydrolase Activity (GO:0051345),2,119,264,0.728716567911186,F2R;RGS11,0.7792573673445677,0.7826585179526355,Up,GO_BP
Positive Regulation Of Protein Kinase B Signaling (GO:0051897),1,60,264,0.7290005137454496,IL18,0.7792573673445677,0.7761363636363636,Up,GO_BP
Negative Regulation Of Programmed Cell Death (GO:0043069),5,284,264,0.7340331189106497,IFI6;IFIT3;NUAK2;SOX8;WNT5A,0.7840429453315115,0.8198623559539053,Up,GO_BP
Cellular Response To Reactive Oxygen Species (GO:0034614),1,61,264,0.7348484673478034,TNFAIP3,0.784320111518722,0.7634128166915052,Up,GO_BP
Telomere Maintenance (GO:0000723),1,62,264,0.7405706944891572,SP100,0.7898301208799704,0.751099706744868,Up,GO_BP
Response To Insulin (GO:0032868),1,64,264,0.7516486837781797,LPIN2,0.7998312917126784,0.7276278409090908,Up,GO_BP
Regulation Of Cilium Assembly (GO:1902017),1,64,264,0.7516486837781797,KCTD17,0.7998312917126784,0.7276278409090908,Up,GO_BP
Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806),1,64,264,0.7516486837781797,PKD1,0.7998312917126784,0.7276278409090908,Up,GO_BP
Negative Regulation Of Cell Cycle (GO:0045786),1,65,264,0.7570096606778166,BMP7,0.8031132565536836,0.7164335664335665,Up,GO_BP
Regulation Of Ras Protein Signal Transduction (GO:0046578),1,65,264,0.7570096606778166,SPRY4,0.8031132565536836,0.7164335664335665,Up,GO_BP
Spindle Assembly (GO:0051225),1,65,264,0.7570096606778166,KIFC2,0.8031132565536836,0.7164335664335665,Up,GO_BP
Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),1,65,264,0.7570096606778166,STUB1,0.8031132565536836,0.7164335664335665,Up,GO_BP
Cytoskeleton-Dependent Cytokinesis (GO:0061640),1,66,264,0.7622553430378671,NOX5,0.8074641809507737,0.7055785123966942,Up,GO_BP
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),1,66,264,0.7622553430378671,PHLDB2,0.8074641809507737,0.7055785123966942,Up,GO_BP
Protein Modification By Small Protein Conjugation (GO:0032446),5,296,264,0.7661988405550951,ISG15;RNF144A;STUB1;UBE2E2;UBE2F,0.80865179378174,0.7866246928746929,Up,GO_BP
Cilium Organization (GO:0044782),3,186,264,0.7664311775714919,CDC14B;RABL2B;TTLL3,0.80865179378174,0.751099706744868,Up,GO_BP
Epigenetic Regulation Of Gene Expression (GO:0040029),1,67,264,0.7673882011862153,ZDBF2,0.80865179378174,0.6950474898236093,Up,GO_BP
Ubiquitin-Dependent ERAD Pathway (GO:0030433),1,67,264,0.7673882011862153,STUB1,0.80865179378174,0.6950474898236093,Up,GO_BP
Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263),1,67,264,0.7673882011862153,WNK2,0.80865179378174,0.6950474898236093,Up,GO_BP
Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100),1,67,264,0.7673882011862153,BMP7,0.80865179378174,0.6950474898236093,Up,GO_BP
Cellular Response To Peptide Hormone Stimulus (GO:0071375),1,67,264,0.7673882011862153,LPIN2,0.80865179378174,0.6950474898236093,Up,GO_BP
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),2,131,264,0.7760790711714681,KLF4;MFSD2A,0.8171996786738369,0.7109646079111729,Up,GO_BP
Negative Regulation Of Protein Kinase Activity (GO:0006469),1,69,264,0.7773250636201747,MVP,0.8172918515410331,0.674901185770751,Up,GO_BP
Regulation Of Actin Cytoskeleton Organization (GO:0032956),1,69,264,0.7773250636201747,SLC4A2,0.8172918515410331,0.674901185770751,Up,GO_BP
Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322),1,70,264,0.782133749362856,STUB1,0.8211240478802008,0.6652597402597403,Up,GO_BP
Positive Regulation Of Epithelial Cell Migration (GO:0010634),1,70,264,0.782133749362856,WNT5A,0.8211240478802008,0.6652597402597403,Up,GO_BP
Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),1,71,264,0.7868389759800192,PKD1,0.8254496617901912,0.6558898847631243,Up,GO_BP
Cellular Response To Salt (GO:1902075),1,72,264,0.7914429611179785,WNT5A,0.8296627177841513,0.646780303030303,Up,GO_BP
Positive Regulation Of Amide Metabolic Process (GO:0034250),1,73,264,0.7959478750653565,ABCG1,0.8331472193747907,0.6379202988792031,Up,GO_BP
Positive Regulation Of Protein Ubiquitination (GO:0031398),1,73,264,0.7959478750653565,STUB1,0.8331472193747907,0.6379202988792031,Up,GO_BP
Cilium Assembly (GO:0060271),3,197,264,0.7992141163234785,CDC14B;RABL2B;TTLL3,0.8359459734117332,0.7091601292108907,Up,GO_BP
Regulation Of Protein Localization (GO:0032880),1,74,264,0.8003558417606143,RAB11FIP5,0.8365200686846124,0.6292997542997544,Up,GO_BP
Membrane Organization (GO:0061024),2,139,264,0.8035065176874873,BIN1;MYADM,0.8391914851643557,0.6700457815565729,Up,GO_BP
Negative Regulation Of Amide Metabolic Process (GO:0034249),1,77,264,0.8130186230296103,BIN1,0.8484979860168491,0.6047815820543093,Up,GO_BP
Gene Expression (GO:0010467),4,261,264,0.8159220857098908,CASP4;CASP8;LMF1;STUB1,0.8508269052900945,0.7136886102403344,Up,GO_BP
Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090),1,78,264,0.8170591471779434,WNT5A,0.8508269052900945,0.597027972027972,Up,GO_BP
Regulation Of Protein Metabolic Process (GO:0051246),1,78,264,0.8170591471779434,KLF4,0.8508269052900945,0.597027972027972,Up,GO_BP
Positive Regulation Of DNA Repair (GO:0045739),1,79,264,0.8210126823076929,EYA2,0.8530551507630005,0.5894706559263522,Up,GO_BP
Regulation Of RNA Metabolic Process (GO:0051252),1,79,264,0.8210126823076929,OASL,0.8530551507630005,0.5894706559263522,Up,GO_BP
Activation Of GTPase Activity (GO:0090630),1,79,264,0.8210126823076929,ARHGEF16,0.8530551507630005,0.5894706559263522,Up,GO_BP
Negative Regulation Of Developmental Process (GO:0051093),1,80,264,0.8248810942496306,CST3,0.856443873426217,0.5821022727272728,Up,GO_BP
ERAD Pathway (GO:0036503),1,81,264,0.8286662089637372,STUB1,0.8591094936427871,0.5749158249158249,Up,GO_BP
Protein Catabolic Process (GO:0030163),1,81,264,0.8286662089637372,CASP8,0.8591094936427871,0.5749158249158249,Up,GO_BP
Endocytosis (GO:0006897),2,148,264,0.8307701737586073,BIN1;DNER,0.8606583811845778,0.6292997542997544,Up,GO_BP
Protein Deubiquitination (GO:0016579),1,82,264,0.8323698133880044,TNFAIP3,0.8610511779255676,0.5679046563192905,Up,GO_BP
"Retrograde Transport, Endosome To Golgi (GO:0042147)",1,82,264,0.8323698133880044,BAIAP3,0.8610511779255676,0.5679046563192905,Up,GO_BP
Mitotic Spindle Organization (GO:0007052),1,83,264,0.8359936562692332,KIFC2,0.8635337108315432,0.5610624315443593,Up,GO_BP
Vesicle Organization (GO:0016050),1,83,264,0.8359936562692332,TSNARE1,0.8635337108315432,0.5610624315443593,Up,GO_BP
Protein Modification By Small Protein Removal (GO:0070646),1,85,264,0.8430088662956456,TNFAIP3,0.869506952005231,0.5478609625668449,Up,GO_BP
Cellular Response To Insulin Stimulus (GO:0032869),1,85,264,0.8430088662956456,LPIN2,0.869506952005231,0.5478609625668449,Up,GO_BP
Organelle Assembly (GO:0070925),4,276,264,0.8481120357283332,CDC14B;RABL2B;TTLL3;ULK1,0.874131543033366,0.674901185770751,Up,GO_BP
Fatty Acid Metabolic Process (GO:0006631),1,88,264,0.8529750813090055,LPIN2,0.8785020727934355,0.5291838842975207,Up,GO_BP
Regulation Of Protein Kinase B Signaling (GO:0051896),1,90,264,0.8592664756519781,IL18,0.8836916888811523,0.5174242424242425,Up,GO_BP
Negative Regulation Of Growth (GO:0045926),1,90,264,0.8592664756519781,GNG4,0.8836916888811523,0.5174242424242425,Up,GO_BP
Positive Regulation Of DNA Metabolic Process (GO:0051054),1,91,264,0.8623108586762224,EYA2,0.8861767090984338,0.5117382617382618,Up,GO_BP
Receptor-Mediated Endocytosis (GO:0006898),1,92,264,0.8652896289220208,RAMP1,0.8872991761693105,0.5061758893280632,Up,GO_BP
Regulation Of Organelle Organization (GO:0033043),1,92,264,0.8652896289220208,S100A9,0.8872991761693105,0.5061758893280632,Up,GO_BP
Macroautophagy (GO:0016236),1,92,264,0.8652896289220208,ULK1,0.8872991761693105,0.5061758893280632,Up,GO_BP
Negative Regulation Of Translation (GO:0017148),1,93,264,0.8682041952197248,NMNAT2,0.889641335842434,0.500733137829912,Up,GO_BP
Protein Ubiquitination (GO:0016567),5,346,264,0.8691758713568161,DTX3L;ISG15;RNF144A;STUB1;UBE2H,0.889990678145477,0.6729506043089859,Up,GO_BP
Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),1,94,264,0.8710559362624258,STUB1,0.8912689819189867,0.4954061895551258,Up,GO_BP
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),1,95,264,0.8738462012482224,TNFRSF25,0.8934760796820592,0.4901913875598086,Up,GO_BP
Protein-Containing Complex Organization (GO:0043933),1,96,264,0.876576310508856,TRAF1,0.895618518557564,0.4850852272727273,Up,GO_BP
Negative Regulation Of Wnt Signaling Pathway (GO:0030178),1,97,264,0.879247556124995,WNT5A,0.8976977580986742,0.4800843486410497,Up,GO_BP
Cellular Response To Oxidative Stress (GO:0034599),1,99,264,0.8844184870916303,PRR5L,0.9023242843718657,0.4703856749311295,Up,GO_BP
Protein Stabilization (GO:0050821),2,171,264,0.8856253351943414,RASSF2;STUB1,0.9029027080630172,0.5446570972886763,Up,GO_BP
Non-Membrane-Bounded Organelle Assembly (GO:0140694),1,101,264,0.8893687883388203,PLA2G4C,0.9060645201054696,0.46107110711071103,Up,GO_BP
Regulation Of Macromolecule Metabolic Process (GO:0060255),1,104,264,0.896400967848517,PTHLH,0.9124761281738383,0.447770979020979,Up,GO_BP
DNA-templated Transcription (GO:0006351),2,177,264,0.896955627056778,KLF13;PDE10A,0.9124761281738383,0.5261941448382126,Up,GO_BP
Positive Regulation Of Transferase Activity (GO:0051347),1,105,264,0.8986446220312889,KLF4,0.9135357072666777,0.4435064935064935,Up,GO_BP
Negative Regulation Of Cell Motility (GO:2000146),1,107,264,0.9029877382201938,IFITM1,0.9172899198190738,0.4352166525063721,Up,GO_BP
Golgi Organization (GO:0007030),1,109,264,0.9071454250033785,OPTN,0.9208504997696165,0.4272310258548791,Up,GO_BP
Negative Regulation Of Gene Expression (GO:0010629),3,250,264,0.9078626993831763,CREB3L1;KLF4;MYADM,0.920916081114063,0.5588181818181818,Up,GO_BP
Mitotic Sister Chromatid Segregation (GO:0000070),1,110,264,0.9091572106249713,KIFC2,0.9215666840458582,0.4233471074380165,Up,GO_BP
Golgi Vesicle Transport (GO:0048193),2,185,264,0.9104460298306387,ERGIC1;KDELR3,0.9222105872871724,0.5034398034398034,Up,GO_BP
Protein-Containing Complex Assembly (GO:0065003),3,253,264,0.9120269996277661,CASP4;MAPK8IP2;TRAF1,0.9231492801110315,0.5521918792669781,Up,GO_BP
Cytosolic Transport (GO:0016482),1,114,264,0.9167793346411784,BAIAP3,0.9272943664363461,0.4084928229665072,Up,GO_BP
Regulation Of Cell Cycle Process (GO:0010564),1,116,264,0.9203479777913685,BIN1,0.9302371036272356,0.40144984326018807,Up,GO_BP
Regulation Of Cellular Component Organization (GO:0051128),1,117,264,0.9220747090988968,WNT5A,0.9313152573647411,0.398018648018648,Up,GO_BP
Regulation Of DNA Repair (GO:0006282),1,121,264,0.9286166324651678,EYA2,0.9372518372019684,0.3848610067618332,Up,GO_BP
Proteasomal Protein Catabolic Process (GO:0010498),2,200,264,0.9314029771175338,KCTD17;STUB1,0.939392137750422,0.4656818181818182,Up,GO_BP
Phosphate-Containing Compound Metabolic Process (GO:0006796),1,130,264,0.9414040491723978,PLA2G4C,0.9488007952730381,0.35821678321678324,Up,GO_BP
DNA Damage Response (GO:0006974),4,353,264,0.9481173008630525,DTX3L;IRF7;PARP4;UBE2E2,0.9548847334173926,0.5276847798094257,Up,GO_BP
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),3,291,264,0.9518388710283893,FBXL16;KCTD17;STUB1,0.9579491062917669,0.48008434864104965,Up,GO_BP
Intracellular Protein Transport (GO:0006886),3,293,264,0.9533789823707182,PKD1;RABL2B;TSNARE1,0.9588152132039083,0.4768073223704623,Up,GO_BP
Double-Strand Break Repair (GO:0006302),1,157,264,0.9676187188515377,DTX3L,0.9724430287033616,0.2966126230457441,Up,GO_BP
Macromolecule Biosynthetic Process (GO:0009059),1,162,264,0.9709910741242951,COL5A1,0.9751376552237582,0.28745791245791247,Up,GO_BP
Endomembrane System Organization (GO:0010256),1,167,264,0.974013405878938,OPTN,0.9774771804375402,0.2788513881328253,Up,GO_BP
Transcription By RNA Polymerase II (GO:0006366),1,174,264,0.9777248472532507,KLF13,0.9805044488090524,0.2676332288401254,Up,GO_BP
DNA Repair (GO:0006281),2,270,264,0.9811710565324334,DTX3L;PARP4,0.9829177930732754,0.34494949494949495,Up,GO_BP
DNA Metabolic Process (GO:0006259),2,271,264,0.98152457153809,PARP4;SP100,0.9829177930732754,0.3436766185843677,Up,GO_BP
Chromatin Remodeling (GO:0006338),1,206,264,0.9890007644054327,DTX3L,0.9897021833872806,0.22605913503971758,Up,GO_BP
Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),2,361,264,0.9967829491222632,PERM1;ZNF217,0.9967829491222632,0.2579954671367414,Up,GO_BP
Complement and coagulation cascades,6,36,264,0.00010500263011201939,BDKRB2;CFB;F2R;PLAT;SERPINA1;SERPINF2,0.021105528652515897,7.761363636363637,Up,KEGG
TNF signaling pathway,8,85,264,0.0004692114283549311,CASP8;CREB3L1;IRF1;JUNB;LIF;MAP2K3;TNFAIP3;TRAF1,0.04715574854967058,4.382887700534759,Up,KEGG
Toll-like receptor signaling pathway,6,60,264,0.0017563224311341816,CASP8;IRF5;IRF7;MAP2K3;STAT1;TICAM1,0.11398879242484852,4.656818181818182,Up,KEGG
Human papillomavirus infection,13,248,264,0.0027368822357254482,CASP8;CREB3L1;HLA-A;IRF1;ISG15;ITGA5;LAMA3;LAMB1;LFNG;OASL;STAT1;TICAM1;WNT5A,0.11398879242484852,2.441074046920821,Up,KEGG
Inflammatory bowel disease,4,28,264,0.0028355421001206096,IL18;IL4R;NFATC1;STAT1,0.11398879242484852,6.652597402597403,Up,KEGG
PI3K-Akt signaling pathway,11,221,264,0.008258387123987345,AREG;CREB3L1;DDIT4;F2R;GNG12;GNG4;IL4R;ITGA5;LAMA3;LAMB1;OSMR,0.23614722915115885,2.3178733031674206,Up,KEGG
Salivary secretion,4,41,264,0.01128610320588428,CST3;GUCY1B1;KCNMA1;SLC4A2,0.23614722915115885,4.543237250554324,Up,KEGG
Cytokine-cytokine receptor interaction,6,90,264,0.01284216655997848,BMP7;IL18;IL4R;LIF;OSMR;TNFRSF25,0.23614722915115885,3.1045454545454545,Up,KEGG
NOD-like receptor signaling pathway,7,117,264,0.013036999801914485,CASP4;CASP8;IL18;IRF7;STAT1;TICAM1;TNFAIP3,0.23614722915115885,2.786130536130536,Up,KEGG
Kaposi sarcoma-associated herpesvirus infection,8,146,264,0.01347805048333924,CASP8;GNG12;GNG4;HLA-A;IRF7;NFATC1;STAT1;TICAM1,0.23614722915115885,2.5516811955168124,Up,KEGG
Axon guidance,8,147,264,0.01399803057744889,BMP7;L1CAM;MYL12A;PLXNA3;PTCH1;SEMA3B;UNC5A;WNT5A,0.23614722915115885,2.5343228200371057,Up,KEGG
Morphine addiction,4,44,264,0.01439353358802459,GNG12;GNG4;PDE10A;PDE4A,0.23614722915115885,4.233471074380166,Up,KEGG
p53 signaling pathway,5,68,264,0.015273203875448085,ADGRB1;BBC3;CASP8;IGFBP3;STEAP3,0.23614722915115885,3.424131016042781,Up,KEGG
Necroptosis,6,97,264,0.018025074912737544,CASP8;PLA2G4C;PYGL;STAT1;TICAM1;TNFAIP3,0.2404750009151658,2.880506091846298,Up,KEGG
Glutamatergic synapse,5,71,264,0.018120489831359655,GNG12;GNG4;PLA2G4C;SHANK3;SLC1A1,0.2404750009151658,3.2794494238156213,Up,KEGG
TGF-beta signaling pathway,5,72,264,0.01914228863006295,BMP7;ID1;ID3;NBL1;TGIF1,0.2404750009151658,3.233901515151515,Up,KEGG
Epstein-Barr virus infection,8,158,264,0.02072130380994913,B2M;CASP8;HLA-A;IRF7;ISG15;MAP2K3;STAT1;TNFAIP3,0.24499894504704556,2.3578826237054087,Up,KEGG
Hepatitis B,7,132,264,0.02370927799524791,CASP8;CREB3L1;IRF7;MAP2K3;NFATC1;STAT1;TICAM1,0.2643980741929609,2.46952479338843,Up,KEGG
Toxoplasmosis,5,78,264,0.026069489397945865,CASP8;LAMA3;LAMB1;MAP2K3;STAT1,0.2643980741929609,2.98513986013986,Up,KEGG
African trypanosomiasis,2,12,264,0.026308266088851832,APOL1;IL18,0.2643980741929609,7.761363636363637,Up,KEGG
Pathways in cancer,14,370,264,0.02891659183645045,BBC3;BDKRB2;CASP8;F2R;GNG12;GNG4;IL4R;LAMA3;LAMB1;PLEKHG5;PTCH1;STAT1;TRAF1;WNT5A,0.27677309329174,1.762039312039312,Up,KEGG
Type I diabetes mellitus,2,13,264,0.030657585654094547,HLA-A;PTPRN2,0.2800988507487729,7.164335664335664,Up,KEGG
