term,overlap,set_size,query_size,p,genes,FDR,fold,direction,library
Negative Regulation Of Phosphorylation (GO:0042326),5,65,264,0.012741874022726092,BMP7;IGFBP3;MYADM;PID1;PRR5L,0.2066526924835232,3.5821678321678325,Up,GO_BP
Regulation Of Neuron Projection Development (GO:0010975),7,117,264,0.013036999801914485,KIF1A;KIF26A;KNDC1;MFSD2A;S100A9;SHANK3;WNT5A,0.20903644000569702,2.786130536130536,Up,GO_BP
Negative Regulation Of Proteolysis (GO:0045861),3,24,264,0.014197573175159404,CST3;ECM1;PLAT,0.22014039285879033,5.8210227272727275,Up,GO_BP
Cardiac Conduction (GO:0061337),3,24,264,0.014197573175159404,BIN1;KCNH2;SLC4A3,0.22014039285879033,5.8210227272727275,Up,GO_BP
Regulation Of Potassium Ion Transmembrane Transport (GO:1901379),3,24,264,0.014197573175159404,BIN1;CD63;KCNH2,0.22014039285879033,5.8210227272727275,Up,GO_BP
Cytokine-Mediated Signaling Pathway (GO:0019221),7,120,264,0.014821191163061641,IL18;IL4R;IRF5;OASL;OSMR;STAT1;TRAF1,0.2273119644682606,2.7164772727272726,Up,GO_BP
Regulation Of Immune Response (GO:0050776),4,45,264,0.01553798050833545,CASP8;IRF1;IRF7;RSAD2,0.2286735232574024,4.13939393939394,Up,GO_BP
Response To Molecule Of Bacterial Origin (GO:0002237),4,45,264,0.01553798050833545,F2R;IRF5;S100A9;TNFAIP3,0.2286735232574024,4.13939393939394,Up,GO_BP
Positive Regulation Of Signaling Receptor Activity (GO:2000273),3,25,264,0.015882356682654454,AREG;BTC;SHANK3,0.2286735232574024,5.588181818181819,Up,GO_BP
Negative Regulation Of Endothelial Cell Migration (GO:0010596),3,25,264,0.015882356682654454,ADAMTS9;ADGRB1;SP100,0.2286735232574024,5.588181818181819,Up,GO_BP
Secondary Alcohol Metabolic Process (GO:1902652),3,25,264,0.015882356682654454,ABCG1;APOL2;OSBPL5,0.2286735232574024,5.588181818181819,Up,GO_BP
Negative Regulation Of Epithelial Cell Migration (GO:0010633),3,25,264,0.015882356682654454,ADAMTS9;ADGRB1;SP100,0.2286735232574024,5.588181818181819,Up,GO_BP
Proteolysis (GO:0006508),9,181,264,0.016248815181278943,ADAM8;ADAMTS15;ADAMTS17;ADAMTS9;CAPN15;CASP4;CASP8;PLAT;PTCH1,0.2315866486947938,2.3155449522852836,Up,GO_BP
Cell-Matrix Adhesion (GO:0007160),5,70,264,0.01713538318511949,ADAMTS9;CD63;ITGA5;L1CAM;PKD1,0.23453535264327532,3.3262987012987018,Up,GO_BP
Regulation Of Protein Binding (GO:0043393),6,96,264,0.017209205316342034,B2M;DTX3L;IFIT1;IFIT2;NES;PKD1,0.23453535264327532,2.9105113636363638,Up,GO_BP
Regulation Of Sprouting Angiogenesis (GO:1903670),3,26,264,0.017674685914511396,CREB3L1;ITGA5;KLF4,0.23453535264327532,5.3732517482517475,Up,GO_BP
Regulation Of Defense Response To Virus By Host (GO:0050691),3,26,264,0.017674685914511396,DTX3L;STAT1;TNFAIP3,0.23453535264327532,5.3732517482517475,Up,GO_BP
Positive Regulation Of Type II Interferon Production (GO:0032729),3,26,264,0.017674685914511396,HLA-A;IL18;ISG15,0.23453535264327532,5.3732517482517475,Up,GO_BP
Regulation Of Type I Interferon Production (GO:0032479),4,47,264,0.01799478982568103,IRF1;IRF5;IRF7;TICAM1,0.23453535264327532,3.963249516441006,Up,GO_BP
Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663),2,10,264,0.01845033603359572,IL18;TICAM1,0.23453535264327532,9.313636363636364,Up,GO_BP
Regulation Of Fibrinolysis (GO:0051917),2,10,264,0.01845033603359572,PLAT;SERPINF2,0.23453535264327532,9.313636363636364,Up,GO_BP
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081),2,10,264,0.01845033603359572,TICAM1;WNT5A,0.23453535264327532,9.313636363636364,Up,GO_BP
Negative Regulation Of Protein Processing (GO:0010955),2,10,264,0.01845033603359572,PLAT;SERPINF2,0.23453535264327532,9.313636363636364,Up,GO_BP
Regulation Of Mesenchymal Cell Proliferation (GO:0010464),2,10,264,0.01845033603359572,STAT1;WNT5A,0.23453535264327532,9.313636363636364,Up,GO_BP
Mesonephric Tubule Development (GO:0072164),2,10,264,0.01845033603359572,BMP7;PKD1,0.23453535264327532,9.313636363636364,Up,GO_BP
Neuron Development (GO:0048666),6,98,264,0.01886708944036773,L1CAM;LAMB1;MICALL2;ULK1;UNC5A;WNT5A,0.23588618322375557,2.851113172541744,Up,GO_BP
Learning (GO:0007612),3,27,264,0.019575066729978323,MAPK8IP2;SHANK3;STRA6,0.23588618322375557,5.174242424242424,Up,GO_BP
Cognition (GO:0050890),3,27,264,0.019575066729978323,GPR155;MFSD2A;STRA6,0.23588618322375557,5.174242424242424,Up,GO_BP
Regulation Of Angiogenesis (GO:0045765),7,127,264,0.019649647959765346,ADGRB1;ECM1;KLF4;SP100;STAT1;TNFAIP3;WNT5A,0.23588618322375557,2.5667501789549036,Up,GO_BP
Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288),4,49,264,0.020680277770496212,CREB3L1;GPR155;NBL1;SPRY4,0.23588618322375557,3.8014842300556584,Up,GO_BP
Negative Regulation Of Protein Ubiquitination (GO:0031397),4,49,264,0.020680277770496212,ADGRB1;DTX3L;ISG15;TNFAIP3,0.23588618322375557,3.8014842300556584,Up,GO_BP
Embryonic Organ Development (GO:0048568),4,49,264,0.020680277770496212,MFSD2A;NES;PKD1;STRA6,0.23588618322375557,3.8014842300556584,Up,GO_BP
Regulation Of Inflammatory Response (GO:0050727),7,129,264,0.021210109657846515,CASP4;IL18;KLF4;LGALS1;S100A9;TNFAIP3;WNT5A,0.23588618322375557,2.5269556025369977,Up,GO_BP
Cellular Response To Cytokine Stimulus (GO:0071345),8,159,264,0.02142915497388941,IFIT1;IL4R;IRF1;IRF5;OSMR;PID1;STAT1;WNT5A,0.23588618322375557,2.3430531732418527,Up,GO_BP
Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),3,28,264,0.02158380968556126,DDX60;OASL;RSAD2,0.23588618322375557,4.989448051948052,Up,GO_BP
Pharyngeal System Development (GO:0060037),2,11,264,0.02223448785879482,BMP7;PTCH1,0.23588618322375557,8.466942148760332,Up,GO_BP
Potassium Ion Homeostasis (GO:0055075),2,11,264,0.02223448785879482,KCNH2;KCNMA1,0.23588618322375557,8.466942148760332,Up,GO_BP
Regulation Of Multicellular Organism Growth (GO:0040014),2,11,264,0.02223448785879482,MFSD2A;PTCH1,0.23588618322375557,8.466942148760332,Up,GO_BP
Triglyceride Biosynthetic Process (GO:0019432),2,11,264,0.02223448785879482,DGAT1;LPIN2,0.23588618322375557,8.466942148760332,Up,GO_BP
Regulation Of Neuron Projection Arborization (GO:0150011),2,11,264,0.02223448785879482,MFSD2A;WNT5A,0.23588618322375557,8.466942148760332,Up,GO_BP
Cell Junction Maintenance (GO:0034331),2,11,264,0.02223448785879482,F2R;MYADM,0.23588618322375557,8.466942148760332,Up,GO_BP
Regulation Of Cytokine Production Involved In Immune Response (GO:0002718),2,11,264,0.02223448785879482,IRF5;WNT5A,0.23588618322375557,8.466942148760332,Up,GO_BP
Negative Regulation Of Cation Transmembrane Transport (GO:1904063),2,11,264,0.02223448785879482,BIN1;KCNH2,0.23588618322375557,8.466942148760332,Up,GO_BP
Regulation Of Macrophage Differentiation (GO:0045649),2,11,264,0.02223448785879482,CASP8;LIF,0.23588618322375557,8.466942148760332,Up,GO_BP
Bicarbonate Transport (GO:0015701),2,11,264,0.02223448785879482,SLC4A2;SLC4A3,0.23588618322375557,8.466942148760332,Up,GO_BP
Lysosomal Microautophagy (GO:0016237),2,11,264,0.02223448785879482,SNX7;ULK1,0.23588618322375557,8.466942148760332,Up,GO_BP
Positive Regulation Of Natural Killer Cell Activation (GO:0032816),2,11,264,0.02223448785879482,IL18;TICAM1,0.23588618322375557,8.466942148760332,Up,GO_BP
Positive Regulation Of Cytoskeleton Organization (GO:0051495),4,51,264,0.02359944048701512,BIN1;CDC42EP3;NES;PLXNA3,0.23949008678303185,3.6524064171122994,Up,GO_BP
Positive Regulation Of Ossification (GO:0045778),3,29,264,0.023701040734143468,BMP7;ISG15;WNT5A,0.23949008678303185,4.817398119122257,Up,GO_BP
Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),4,52,264,0.025147977601876627,ECM1;EGFL7;JCAD;WNT5A,0.23949008678303185,3.582167832167832,Up,GO_BP
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),7,134,264,0.025483858377195048,APOL2;CASP8;ECM1;F2R;LGALS1;TICAM1;TNFRSF25,0.23949008678303185,2.4326662143826328,Up,GO_BP
Positive Regulation Of Programmed Cell Death (GO:0043068),9,196,264,0.025710731807012093,BIN1;CASP8;IFIT2;IGFBP3;IRF5;KCNMA1;LGALS1;PLEKHN1;RASSF2,0.23949008678303185,2.1383348794063077,Up,GO_BP
Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961),3,30,264,0.025926711503747563,CASP4;NLRC5;WNT5A,0.23949008678303185,4.656818181818182,Up,GO_BP
Regulation Of Response To External Stimulus (GO:0032101),5,78,264,0.026069489397945865,CASP4;CASP8;F2R;IRF1;WNT5A,0.23949008678303185,2.98513986013986,Up,GO_BP
Membrane Raft Organization (GO:0031579),2,12,264,0.026308266088851832,MYADM;RFTN1,0.23949008678303185,7.761363636363637,Up,GO_BP
Regulation Of Adaptive Immune Response (GO:0002819),2,12,264,0.026308266088851832,IRF1;IRF7,0.23949008678303185,7.761363636363637,Up,GO_BP
