compound,vina_kcal_mol,seconds
"BENZNIDAZOLE",-5.190,25.0
"MEXILETINE",-3.698,10.2
"FLURBIPROFEN",-4.591,14.5
"PROMAZINE",-4.233,23.6
"ACETAMINOPHEN",-3.752,4.7
"CAFFEINE",-3.891,3.8
"OXAZEPAM",-4.260,37.5
"PROCAINE",-3.953,27.5
"KETOPROFEN",-4.954,18.3
"NITROFURANTOIN",-5.919,10.5
"LORAZEPAM",-4.607,39.6
"BROMAZEPAM",-3.860,25.5
"BIFONAZOLE",-4.622,23.5
"TRIAMTERENE",-4.833,15.3
"FENOLDOPAM",-4.003,55.9
"MENADIONE",-4.169,1.7
"LEVORPHANOL",-4.699,3.2
"EMEDASTINE",-3.233,34.6
"FENTANYL",-4.808,25.6
"LOFEXIDINE",-4.330,6.8
"PHENTOLAMINE",-4.620,11.4
"TOLOXATONE",-4.890,4.4
"ACETYLCYSTEINE",-3.701,3.9
"NALTREXONE",-5.220,9.8
"MOXONIDINE",-4.401,4.2
"PROCAINAMIDE HYDROCHLORIDE",-3.855,11.7
"MEPERIDINE",-4.587,7.2
"LOXOPROFEN",-4.751,9.6
"DEXTROAMPHETAMINE",-3.538,3.2
"IBUDILAST",-4.439,5.2
"TEGAFUR",-4.560,3.4
"LINEZOLID",-5.539,13.2
"ETODOLAC",-5.112,11.8
"THIABENDAZOLE",-4.447,4.0
"NAFTIFINE",-4.266,14.6
"LORMETAZEPAM",-4.144,24.2
"PENTOXIFYLLINE",-4.497,14.0
"AMITRIPTYLINE",-3.577,22.9
"SUMATRIPTAN",-5.024,14.6
"RIVASTIGMINE",-4.161,10.9
"VENLAFAXINE",-4.368,11.5
"ZIDOVUDINE",-5.146,8.6
"VORICONAZOLE",-5.344,22.4
"PROCAINAMIDE",-3.855,10.5
"ATOMOXETINE",-4.352,11.7
"PROMETHAZINE",-4.335,9.8
"TRIMIPRAMINE",-3.143,30.1
"APRACLONIDINE",-3.979,5.4
"CYCLIZINE",-4.393,9.9
"CLONIDINE",-4.083,4.0
"MIRTAZAPINE",-4.833,3.5
"MIDAZOLAM",-5.318,7.7
"ESTRADIOL",-5.011,4.8
"DIPHENHYDRAMINE",-4.032,11.5
"GALANTAMINE",-4.205,17.8
