compound,vina_kcal_mol,seconds
"ANISOTROPINE",-4.139,16.9
"OLOPATADINE",-4.943,16.3
"PALONOSETRON",-5.119,7.4
"BRETYLIUM",-3.063,4.3
"SULFISOXAZOLE DIOLAMINE",-5.278,9.0
"ESCITALOPRAM OXALATE",-4.393,19.2
"DULOXETINE HYDROCHLORIDE",-4.338,16.1
"TIZANIDINE HYDROCHLORIDE",-4.423,4.6
"PILOCARPINE HYDROCHLORIDE",-4.282,5.4
"PROTRIPTYLINE HYDROCHLORIDE",-4.384,9.8
"PINACIDIL",-4.568,7.3
"PHENYLEPHRINE HYDROCHLORIDE",-4.373,5.4
"INDECAINIDE HYDROCHLORIDE",-4.406,17.7
"SULFADIAZINE SODIUM",-4.641,8.7
"CYCLACILLIN",-4.631,14.6
"SODIUM PHENYLACETATE",-4.176,3.2
"SULFAMETER",-5.137,10.1
"IOFETAMINE HYDROCHLORIDE I 123",-3.750,5.5
"AMINOHIPPURATE SODIUM",-4.753,5.4
"CEPHALEXIN HYDROCHLORIDE",-5.251,14.8
"BENZOYL PEROXIDE",-5.113,8.7
"EXEMESTANE",-5.202,3.6
"AMPHETAMINE ASPARTATE",-3.443,3.2
"APRACLONIDINE HYDROCHLORIDE",-3.979,5.1
"ACYCLOVIR SODIUM",-4.711,9.5
"ARGININE HYDROCHLORIDE",-4.634,8.5
"BENZTROPINE MESYLATE",-4.537,13.9
"AMPHETAMINE ADIPATE",-3.443,3.2
"BRIMONIDINE TARTRATE",-4.589,4.7
"DOXYLAMINE SUCCINATE",-4.286,13.5
"ORPHENADRINE CITRATE",-4.225,12.9
"BUPIVACAINE HYDROCHLORIDE",-3.947,13.6
"BUTENAFINE HYDROCHLORIDE",-4.533,19.0
"AZATHIOPRINE SODIUM",-5.838,8.8
"DIMENHYDRINATE",-4.032,12.5
"LIDOCAINE HYDROCHLORIDE",-3.770,8.1
"PROCARBAZINE HYDROCHLORIDE",-4.319,7.2
"TETRAHYDROZOLINE HYDROCHLORIDE",-4.387,2.9
"MOLINDONE HYDROCHLORIDE",-4.580,9.6
"MIDAZOLAM HYDROCHLORIDE",-5.318,7.3
"PARGYLINE HYDROCHLORIDE",-3.680,3.7
"METHIXENE HYDROCHLORIDE",-4.563,10.7
"ESTRADIOL ACETATE",-5.465,8.0
"METHYLDOPATE HYDROCHLORIDE",-4.569,10.9
"OXANDROLONE",-5.231,4.2
"QUINIDINE GLUCONATE",-4.748,15.4
"IODOHIPPURATE SODIUM I 123",-4.765,5.1
"MEPIVACAINE HYDROCHLORIDE",-4.152,6.2
"PIRBUTEROL ACETATE",-4.640,13.3
"TRIPELENNAMINE HYDROCHLORIDE",-4.125,13.5
"TILUDRONATE DISODIUM",-4.874,12.8
"POTASSIUM CITRATE ANHYDROUS",-4.577,8.1
"MIDODRINE HYDROCHLORIDE",-4.515,13.5
"OXAPROZIN POTASSIUM",-4.913,15.4
"PROMAZINE HYDROCHLORIDE",-4.233,10.4
"ESOMEPRAZOLE SODIUM",-5.576,19.3
"CYCLOPENTOLATE HYDROCHLORIDE",-4.275,18.8
"ALLOPURINOL SODIUM",-4.579,1.7
"PHENMETRAZINE HYDROCHLORIDE",-4.115,3.2
"ETHACRYNATE SODIUM",-4.638,12.6
"EPINASTINE HYDROCHLORIDE",-4.817,3.4
"NAFTIFINE HYDROCHLORIDE",-4.266,16.1
"GUANFACINE HYDROCHLORIDE",-4.916,5.5
"CYCLIZINE LACTATE",-4.393,10.2
"ALMOTRIPTAN MALATE",-4.837,21.9
"AVOBENZONE",-4.309,21.3
"METHDILAZINE HYDROCHLORIDE",-4.054,9.8
"CEPHALEXIN",-5.251,17.3
"ANTAZOLINE PHOSPHATE",-4.316,12.4
"GUANABENZ ACETATE",-4.382,4.2
"CAFFEINE CITRATE",-3.891,2.5
"MEGLUMINE",-3.977,10.0
"CYSTEAMINE BITARTRATE",-4.622,4.4
"THEOPHYLLINE SODIUM GLYCINATE",-4.330,2.2
"AMINOSALICYLATE POTASSIUM",-4.728,3.8
"OXYMETHOLONE",-5.341,5.1
"PRILOCAINE HYDROCHLORIDE",-3.874,8.8
"CHLOROXINE",-4.251,2.7
"NARATRIPTAN HYDROCHLORIDE",-5.021,19.6
"TROPICAMIDE",-4.110,15.9
"MEXILETINE HYDROCHLORIDE",-3.698,5.1
"PERFLEXANE",-4.057,9.2
"PAROXETINE MESYLATE",-4.601,16.0
"LORACARBEF",-5.534,16.1
"TOLMETIN SODIUM",-5.696,8.9
"CHLOROTHIAZIDE SODIUM",-5.013,5.6
"ETHYLESTRENOL",-4.833,4.5
"CYCLOBENZAPRINE HYDROCHLORIDE",-4.883,8.6
"DEXBROMPHENIRAMINE MALEATE",-4.127,9.7
"ISOSORBIDE",-4.216,2.5
"SEVOFLURANE",-3.548,3.8
"CHLORDIAZEPOXIDE HYDROCHLORIDE",-3.971,18.5
"HYDROXYAMPHETAMINE HYDROBROMIDE",-3.803,3.9
"CLOMIPRAMINE HYDROCHLORIDE",-3.308,30.3
"HEXYLCAINE HYDROCHLORIDE",-4.280,13.7
"PSEUDOEPHEDRINE HYDROCHLORIDE",-3.775,4.8
"DESFLURANE",-3.586,2.8
"CARBIDOPA",-4.703,9.9
"LEVOBUPIVACAINE HYDROCHLORIDE",-4.206,13.6
"PROMETHAZINE HYDROCHLORIDE",-4.335,9.2
"MERCAPTOPURINE",-4.091,1.9
"PYRIDOXINE HYDROCHLORIDE",-4.224,4.7
"AMPICILLIN SODIUM",-4.749,18.8
"ANAGRELIDE HYDROCHLORIDE",-5.145,3.0
"IODOHIPPURATE SODIUM I 131",-4.765,5.7
"METHACHOLINE CHLORIDE",-3.440,3.7
"TRIPELENNAMINE CITRATE",-4.125,10.9
"WARFARIN POTASSIUM",-4.797,15.4
"TOCAINIDE HYDROCHLORIDE",-4.090,4.3
"DEXRAZOXANE HYDROCHLORIDE",-5.590,8.8
"CITALOPRAM HYDROBROMIDE",-4.373,19.0
"DEXTROAMPHETAMINE ADIPATE",-3.538,3.0
"TRICLOFOS SODIUM",-4.151,3.8
"METHYPRYLON",-3.437,2.1
"OXYMETAZOLINE HYDROCHLORIDE",-4.325,8.3
"OXYMORPHONE HYDROCHLORIDE",-5.598,4.8
"CLEMASTINE FUMARATE",-4.551,24.2
"CYCLOPHOSPHAMIDE",-3.616,5.8
"TALBUTAL",-4.744,4.4
"DICLOFENAC POTASSIUM",-4.567,10.3
"NAPROXEN SODIUM",-4.725,7.2
"NORELGESTROMIN",-5.083,7.2
"ACETAZOLAMIDE SODIUM",-5.165,4.4
"ARTICAINE HYDROCHLORIDE",-4.085,12.6
"CYCRIMINE HYDROCHLORIDE",-4.394,13.1
"GLUCONOLACTONE",-4.440,4.3
"TERBINAFINE HYDROCHLORIDE",-4.641,15.8
"DIATRIZOATE MEGLUMINE",-3.977,11.3
"PROCAINE HYDROCHLORIDE",-3.953,12.3
"METHYLERGONOVINE MALEATE",-4.776,15.8
"GANCICLOVIR SODIUM",-4.893,12.6
"HOMATROPINE METHYLBROMIDE",-4.754,16.8
"DYDROGESTERONE",-4.892,4.9
"METYROSINE",-4.454,6.2
"PHENYL AMINOSALICYLATE",-4.843,9.1
"METRONIDAZOLE HYDROCHLORIDE",-4.364,4.2
"TIMOLOL MALEATE",-4.780,22.3
"PHENTOLAMINE MESYLATE",-4.620,11.9
"TOLBUTAMIDE SODIUM",-5.011,9.7
"WARFARIN SODIUM",-4.797,12.9
"DIPHEMANIL METHYLSULFATE",-4.459,8.0
"ALOSETRON HYDROCHLORIDE",-5.698,9.8
"OXYPHENCYCLIMINE HYDROCHLORIDE",-4.738,23.1
"PROTOKYLOL HYDROCHLORIDE",-5.432,29.0
"PHENELZINE SULFATE",-4.127,3.8
"SELEGILINE HYDROCHLORIDE",-3.724,5.5
"TRILOSTANE",-5.173,5.5
"SULFISOXAZOLE ACETYL",-4.829,12.6
"PHENTERMINE HYDROCHLORIDE",-3.327,4.0
"ISOETHARINE HYDROCHLORIDE",-4.611,12.0
"MEBUTAMATE",-4.901,9.3
"DEXCHLORPHENIRAMINE MALEATE",-4.205,11.1
"PENICILLIN G PROCAINE",-4.652,16.7
"THIAMINE HYDROCHLORIDE",-4.625,10.4
"SULBACTAM SODIUM",-4.513,3.7
"TRIMIPRAMINE MALEATE",-3.143,31.5
"METHAMPHETAMINE HYDROCHLORIDE",-3.642,3.7
"METHDILAZINE",-4.054,10.7
"BROMPHENIRAMINE MALEATE",-4.250,8.4
"AMITRIPTYLINE HYDROCHLORIDE",-3.577,25.1
"BROMODIPHENHYDRAMINE HYDROCHLORIDE",-4.222,14.5
"ETHOPROPAZINE HYDROCHLORIDE",-3.848,13.8
"CHLOPHEDIANOL HYDROCHLORIDE",-4.162,10.7
"CARBINOXAMINE MALEATE",-4.005,13.9
"MILRINONE LACTATE",-5.073,4.4
"DEXPANTHENOL",-3.984,10.4
"BUTABARBITAL SODIUM",-4.975,4.3
"METHANTHELINE BROMIDE",-4.503,24.7
"NITROFURANTOIN SODIUM",-5.919,6.7
"CARTEOLOL HYDROCHLORIDE",-4.563,21.8
"OLSALAZINE SODIUM",-5.414,13.7
"PHENAZOPYRIDINE HYDROCHLORIDE",-4.652,7.1
"ORPHENADRINE HYDROCHLORIDE",-4.225,14.1
"GLYCOPYRRONIUM BROMIDE",-4.372,20.1
"RIZATRIPTAN BENZOATE",-4.834,11.9
"BIPERIDEN HYDROCHLORIDE",-4.420,17.1
"EFLORNITHINE HYDROCHLORIDE",-4.257,7.2
"ACRISORCIN",-4.131,7.5
"ETIDRONATE DISODIUM",-4.593,5.0
"DAPIPRAZOLE HYDROCHLORIDE",-5.258,15.9
"PEMIROLAST POTASSIUM",-6.225,4.3
"CIMETIDINE HYDROCHLORIDE",-4.748,9.3
"SULFACYTINE",-5.016,9.7
"PROGUANIL HYDROCHLORIDE",-4.615,5.5
"LOXAPINE HYDROCHLORIDE",-5.043,4.4
"LEVALBUTEROL HYDROCHLORIDE",-4.418,11.6
"THIAMYLAL SODIUM",-3.548,7.1
"VENLAFAXINE HYDROCHLORIDE",-4.368,12.6
"BIPERIDEN LACTATE",-4.420,18.1
"PROPIOMAZINE HYDROCHLORIDE",-4.674,18.9
"SUCCIMER",-3.742,4.9
"TRIMETHOPRIM HYDROCHLORIDE",-4.743,13.6
"FLUOXETINE HYDROCHLORIDE",-4.348,17.5
"DIPHENHYDRAMINE CITRATE",-4.032,12.2
"RIVASTIGMINE TARTRATE",-4.161,11.4
"METHYL AMINOLEVULINATE HYDROCHLORIDE",-4.149,4.7
"METHOXAMINE HYDROCHLORIDE",-4.193,7.1
"METHENAMINE HIPPURATE",-4.638,5.3
"NELARABINE",-5.520,14.6
"METHOCARBAMOL",-5.003,14.5
"KETOROLAC TROMETHAMINE",-5.338,7.9
"IOTHALAMATE MEGLUMINE",-3.977,11.5
"DECITABINE",-4.686,7.5
"IBUPROFEN LYSINE",-4.399,6.2
"RASAGILINE MESYLATE",-3.918,4.2
"NORETHINDRONE ACETATE",-4.794,9.0
"NALTREXONE HYDROCHLORIDE",-5.220,9.8
"SUMATRIPTAN SUCCINATE",-5.024,13.8
"MESTRANOL",-4.731,5.6
"NALMEFENE HYDROCHLORIDE",-5.131,9.8
"ISOETHARINE MESYLATE",-4.611,13.1
"LOXAPINE SUCCINATE",-5.043,4.8
"NORTRIPTYLINE HYDROCHLORIDE",-3.370,23.5
"FENTANYL HYDROCHLORIDE",-4.808,26.0
"MAFENIDE ACETATE",-4.341,4.3
"DORZOLAMIDE HYDROCHLORIDE",-4.689,7.8
"LITHIUM CITRATE ANHYDROUS",-4.577,8.5
"MEDRYSONE",-5.015,8.2
"LEVOBUNOLOL HYDROCHLORIDE",-4.466,19.2
"DICLOFENAC EPOLAMINE",-4.567,11.5
"ARMODAFINIL",-4.285,10.6
"LEVOBUPIVACAINE",-4.206,12.8
"PEMIROLAST",-6.225,4.8
"METHAMPHETAMINE",-3.642,4.0
"BENZTROPINE",-4.537,17.1
"PHENMETRAZINE",-4.115,3.3
"PROPIOMAZINE",-4.674,14.8
"MIDODRINE",-4.515,13.2
"ISOETHARINE",-4.611,12.2
"DAPIPRAZOLE",-5.258,14.8
"CYCRIMINE",-4.394,13.1
"METHYLDOPATE",-4.569,10.9
"MEPHENTERMINE",-3.535,4.3
"METHYLHOMATROPINE",-4.754,15.1
"CARBIDOPA ANHYDROUS",-4.703,10.0
"LEVOBUNOLOL",-4.466,19.1
"INDECAINIDE",-4.406,19.0
"BROMODIPHENHYDRAMINE",-4.222,15.3
"BETHANIDINE",-4.020,4.5
"METHANTHELINE",-4.503,23.8
"LODOXAMIDE",-5.176,13.7
"METHENAMINE",-2.831,1.6
"PROTOKYLOL",-5.432,28.3
"DEXBROMPHENIRAMINE",-4.127,12.6
"DANTROLENE",-5.657,11.4
"ACAMPROSATE",-4.235,4.1
"IOFETAMINE",-3.750,5.1
"CHLOPHEDIANOL",-4.162,10.7
"TRICLOFOS",-4.151,4.1
"METARAMINOL",-4.151,5.0
"ESOMEPRAZOLE",-5.576,16.5
"HEXOCYCLIUM",-4.253,16.5
"GLYCOPYRRONIUM",-4.372,20.5
"CYCLOPENTOLATE",-4.275,16.5
"DIPHEMANIL",-4.459,7.8
"METHIXENE",-4.563,10.2
"MENADIOL DIPHOSPHORIC ACID",-5.412,14.7
"DEXCHLORPHENIRAMINE",-4.205,10.4
"METHYLERGONOVINE",-4.776,16.2
"DESVENLAFAXINE SUCCINATE",-4.640,10.1
"BUPROPION HYDROBROMIDE",-4.085,7.1
"SAXAGLIPTIN HYDROCHLORIDE",-5.332,16.6
"CHOLINE FENOFIBRATE",-4.916,13.9
"ALCAFTADINE",-4.106,22.5
"RUFINAMIDE",-5.305,6.9
"FOSPROPOFOL",-4.680,13.3
"SAPROPTERIN",-4.735,7.1
"SAPROPTERIN DIHYDROCHLORIDE",-5.117,7.8
"TAPENTADOL",-3.660,7.1
"TAPENTADOL HYDROCHLORIDE",-3.660,6.8
"CARGLUMIC ACID",-4.660,6.7
"DIENOGEST",-6.090,6.6
"THEOPHYLLINE GLYCINATE",-4.330,2.3
"CLORAZEPIC ACID",-4.674,22.9
"DEXTROSE",-4.463,4.9
"ESTETROL ANHYDROUS",-4.958,5.9
"DOBESILIC ACID",-4.498,3.0
"TARTARIC ACID",-4.622,4.2
"XYLOSE",-4.180,5.3
"TRAMADOL",-4.095,8.0
"HYDROMORPHONE HYDROCHLORIDE",-5.670,3.3
"TRAMADOL HYDROCHLORIDE",-4.095,9.1
"CALCIUM GLUCEPTATE",-4.182,14.8
"GRANISETRON HYDROCHLORIDE",-4.764,7.6
"MECAMYLAMINE HYDROCHLORIDE",-3.303,2.1
"MAPROTILINE HYDROCHLORIDE",-4.669,8.4
"LEVALLORPHAN",-4.995,5.3
"PIRFENIDONE",-4.185,3.2
"XYLOMETAZOLINE HYDROCHLORIDE",-4.540,6.8
"DEXTROMETHORPHAN HYDROBROMIDE",-4.991,3.8
"EPINEPHRINE BITARTRATE",-4.434,5.7
"TERBUTALINE SULFATE",-4.554,8.3
"PENTOLINIUM TARTRATE",-3.672,9.8
"HOMATROPINE HYDROBROMIDE",-5.190,12.2
"MOLSIDOMINE",-4.880,7.9
"METHSCOPOLAMINE BROMIDE",-4.693,16.3
"RITODRINE HYDROCHLORIDE",-5.265,19.4
"SULFADIAZINE, SILVER",-4.641,8.5
"AMILORIDE HYDROCHLORIDE",-4.788,5.1
"NEFOPAM HYDROCHLORIDE",-3.111,18.1
"NOREPINEPHRINE BITARTRATE",-4.426,6.5
"ALBUTEROL SULFATE",-4.499,12.0
"BETAHISTINE HYDROCHLORIDE",-3.596,3.2
"ORNIDAZOLE",-4.146,5.7
"MEPTAZINOL HYDROCHLORIDE",-3.195,17.7
"CYCLANDELATE",-4.998,11.1
"DOTHIEPIN",-4.447,9.2
"PIPERIDOLATE HYDROCHLORIDE",-4.182,19.6
"ETHAMSYLATE",-4.498,3.1
"EPHEDRINE SULFATE",-3.882,4.1
"SULFALENE",-4.994,9.1
"XANTHINOL NIACINATE",-4.578,15.3
"MECLOFENAMATE SODIUM",-5.070,8.3
"OMEPRAZOLE MAGNESIUM",-5.537,15.7
"GANAXOLONE",-4.707,5.5
"DEBRISOQUIN SULFATE",-4.540,2.7
"IOBENGUANE I 131",-4.479,3.5
"HOMATROPINE",-5.190,10.4
"IPRATROPIUM",-4.604,19.9
"PIPERIDOLATE",-4.182,17.8
"XANTHINOL",-4.578,15.5
"PYRANTEL",-3.913,3.7
"HEXOCYCLIUM METHYLSULFATE",-4.253,14.9
"FLUOROESTRADIOL",-5.119,4.4
"DOXEPIN",-4.337,8.8
"FLUORESCEIN SODIUM",-5.297,11.1
"DOXEPIN HYDROCHLORIDE",-4.337,7.5
"PROCAINE BENZYLPENICILLIN",-4.652,12.5
"FEXINIDAZOLE",-4.667,9.2
"RAMOSETRON",-5.309,8.1
"AVIBACTAM",-5.493,7.3
"CLOTIAZEPAM",-3.765,22.2
"ERDOSTEINE",-4.537,8.9
"ISOMETHEPTENE",-2.956,3.9
"GLUCOSAMINE HYDROCHLORIDE",-4.648,4.8
"DOTHIEPIN HYDROCHLORIDE",-4.447,8.6
"SULFACETAMIDE SODIUM",-4.426,4.4
"LOFEXIDINE HYDROCHLORIDE",-4.330,6.3
"RUXOLITINIB",-5.333,13.6
"RUXOLITINIB PHOSPHATE",-5.333,13.1
"ROPIVACAINE HYDROCHLORIDE",-4.603,11.2
"PERFLENAPENT",-3.753,5.5
"STIRIPENTOL",-4.622,6.0
"FOSPROPOFOL DISODIUM",-4.680,12.9
"HYDROXYSTILBAMIDINE ISETHIONATE",-5.124,9.7
"FLUDEOXYGLUCOSE F 18",-4.383,3.6
"FLUTEMETAMOL F 18",-4.341,5.4
"PHENDIMETRAZINE TARTRATE",-3.969,3.3
"METARAMINOL BITARTRATE",-4.151,4.5
"PHENYLEPHRINE BITARTRATE",-4.373,4.1
"DIHYDROCODEINE BITARTRATE",-5.049,4.8
"LEVALLORPHAN TARTRATE",-4.995,5.5
"VONOPRAZAN FUMARATE",-4.503,16.4
"ACAMPROSATE CALCIUM",-4.235,5.3
"FLUDEOXYGLUCOSE",-4.383,4.9
"SODIUM GLUCONATE",-4.863,5.8
"VONOPRAZAN",-4.503,14.3
"STANOZOLOL",-4.668,4.7
"PENCICLOVIR SODIUM",-4.400,13.2
"LORCASERIN HYDROCHLORIDE",-2.903,7.4
"CLORAZEPATE DIPOTASSIUM",-4.674,25.8
"MAGNESIUM TRISILICATE",-4.344,6.3
"INAMRINONE LACTATE",-4.429,4.3
"AMINOSALICYLATE SODIUM",-4.728,3.4
"FENOPROFEN CALCIUM",-4.621,9.8
"LITHIUM CITRATE",-4.577,7.4
"EMEDASTINE DIFUMARATE",-3.233,35.6
"TOFACITINIB CITRATE",-5.263,15.2
"MORPHINE SULFATE",-5.572,4.6
"TIBOLONE",-5.309,5.0
"TASIMELTEON",-4.413,9.5
"DROXIDOPA",-5.071,9.5
"TAFAMIDIS",-5.079,7.8
"PIXANTRONE DIMALEATE",-5.326,19.3
"EFINACONAZOLE",-5.046,23.6
"INDORAMIN HYDROCHLORIDE",-5.628,20.9
"VORTIOXETINE",-4.512,11.2
"POTASSIUM BITARTRATE",-4.622,4.7
"TAUROLIDINE",-4.939,6.7
"DIVALPROEX SODIUM",-3.741,4.5
"TAFAMIDIS MEGLUMINE",-3.977,11.7
"NOMEGESTROL",-4.999,6.6
"LEVOMILNACIPRAN HYDROCHLORIDE",-4.134,8.5
"BARBITAL SODIUM",-4.885,2.6
"CHLORPHENOXAMINE HYDROCHLORIDE",-4.289,16.0
"CALCIUM GLUCONATE",-4.777,11.1
"EMEPRONIUM BROMIDE",-3.802,13.6
"DEXMEDETOMIDINE HYDROCHLORIDE",-4.076,4.2
"VILOXAZINE HYDROCHLORIDE",-4.331,9.9
"MYCOPHENOLATE SODIUM",-5.489,17.7
"ACEFYLLINE PIPERAZINE",-4.944,5.8
"MEDROGESTONE",-5.555,5.8
"POLIHEXANIDE",-4.009,8.2
"PROTHIPENDYL HYDROCHLORIDE",-4.141,12.8
"DIMETHYL FUMARATE",-3.533,3.3
"MIGALASTAT HYDROCHLORIDE",-4.480,4.4
"VORTIOXETINE HYDROBROMIDE",-4.512,10.1
"FLUTRIMAZOLE",-4.710,13.0
"ARIMOCLOMOL",-4.905,17.5
"NORGESTREL",-4.580,5.4
"AVIBACTAM SODIUM",-5.493,7.2
"TRISILICATE",-4.344,6.5
"TRIMETHOPRIM SULFATE",-4.743,13.5
"BETHANIDINE SULFATE",-4.020,4.2
"CHLORPHENOXAMINE",-4.289,15.4
"EMEPRONIUM",-3.802,17.2
"BUTRIPTYLINE",-3.340,30.1
"PROTHIPENDYL",-4.141,11.0
"IPRATROPIUM BROMIDE",-4.604,23.9
"FROVATRIPTAN SUCCINATE",-5.635,5.5
"EPHEDRINE HYDROCHLORIDE",-3.882,4.5
"ESOMEPRAZOLE STRONTIUM",-5.576,18.5
"ATROPINE SULFATE",-5.373,14.1
"ABAMETAPIR",-4.476,3.1
"CEVIMELINE HYDROCHLORIDE",-3.681,2.0
"ISOMETHEPTENE MUCATE",-2.956,4.0
"QUININE SULFATE",-5.280,17.4
"PENBUTOLOL SULFATE",-4.293,20.2
"ESKETAMINE HYDROCHLORIDE",-4.163,3.8
"OSILODROSTAT",-5.032,4.5
"RELEBACTAM ANHYDROUS",-5.307,12.5
"PEFICITINIB",-5.221,15.3
"DEUTETRABENAZINE",-4.566,8.7
"PEFICITINIB HYDROBROMIDE",-5.221,15.9
"RAMOSETRON HYDROCHLORIDE",-5.309,9.3
"PRAMIPEXOLE DIHYDROCHLORIDE",-4.137,5.6
"GUANADREL SULFATE",-4.756,5.8
"MEPHENTERMINE SULFATE",-3.535,4.2
"ONDANSETRON HYDROCHLORIDE",-4.643,8.7
"ASENAPINE",-4.880,3.1
"APOMORPHINE HYDROCHLORIDE",-5.386,4.2
"TRIPROLIDINE HYDROCHLORIDE",-4.505,10.3
"CEDAZURIDINE",-4.432,8.6
"RELEBACTAM",-5.307,13.9
"VABORBACTAM",nan,0.0
"FLUORODOPA F 18",-4.409,8.7
"BENZPHETAMINE HYDROCHLORIDE",-3.186,11.1
"AZATADINE MALEATE",-3.706,19.1
"DEXTROAMPHETAMINE SULFATE",-3.538,3.4
"ASENAPINE MALEATE",-4.880,3.9
"FLORTAUCIPIR F 18",-4.770,5.7
"BENZPHETAMINE",-3.186,11.0
"FLORTAUCIPIR",-4.770,5.8
"FLUORODOPA",-4.409,9.6
"TRIMETAZIDINE DIHYDROCHLORIDE",-4.178,10.4
"VADADUSTAT",-5.203,13.8
"ABROCITINIB",-5.291,18.7
"QUINIDINE SULFATE",-4.748,17.7
"GLYCOPYRRONIUM TOSYLATE",-4.372,21.0
"OSILODROSTAT PHOSPHATE",-5.032,4.9
"BARBEXACLONE",-3.468,3.7
"RUCAPARIB CAMSYLATE",-4.688,25.6
"ACORAMIDIS",-4.608,19.2
"PAMIDRONATE DISODIUM",-4.293,8.5
"IBUPROFEN SODIUM",-4.399,6.7
"MAGNESIUM CITRATE",-4.577,8.7
"PENTAZOCINE LACTATE",-5.119,7.5
"PENTAZOCINE HYDROCHLORIDE",-5.119,6.9
"IOBENGUANE SULFATE I 131",-4.479,3.2
"PENICILLIN G BENZATHINE",-4.652,16.0
"ISOPROTERENOL SULFATE",-4.739,10.0
"IOBENGUANE SULFATE I 123",-4.479,3.8
"SPECTINOMYCIN HYDROCHLORIDE",-4.798,8.0
"HYDROCODONE BITARTRATE",-5.667,3.9
"PIPERAZINE CITRATE",-4.577,8.2
"LEVALBUTEROL TARTRATE",-4.418,13.4
"TRANYLCYPROMINE SULFATE",-3.724,2.5
"LODOXAMIDE TROMETHAMINE",-5.176,12.6
"MENADIOL SODIUM DIPHOSPHATE",-5.412,15.0
"GLUCOSAMINE SULFATE",-4.648,5.3
"FLURBIPROFEN SODIUM",-4.591,8.0
"LEVORPHANOL TARTRATE",-4.699,3.8
"ZOLPIDEM TARTRATE",-4.818,12.7
"POTASSIUM CITRATE",-4.577,8.7
"OXYCODONE TEREPHTHALATE",-5.440,4.7
"TRANYLCYPROMINE",-3.724,2.8
"DEXTROAMPHETAMINE SACCHARATE",-4.855,11.5
"PSEUDOEPHEDRINE SULFATE",-3.775,3.5
"DESVENLAFAXINE FUMARATE",-4.640,8.4
"TRIMEPRAZINE TARTRATE",-4.264,12.3
"NIRAPARIB TOSYLATE MONOHYDRATE",-5.687,11.5
"DIROXIMEL FUMARATE",-4.412,12.5
"CENOBAMATE",-5.202,9.8
"PIPERAZINE CITRATE ANHYDROUS",-4.577,8.3
"RITLECITINIB",-5.215,13.6
"MILNACIPRAN HYDROCHLORIDE",-3.794,9.3
"CODEINE SULFATE",-5.508,4.8
"SOLRIAMFETOL HYDROCHLORIDE",-4.527,8.2
"DURLOBACTAM SODIUM",-5.703,6.2
"MAVACAMTEN",-4.854,10.9
"SOLRIAMFETOL",-4.527,7.7
"DURLOBACTAM",-5.703,7.8
"ARIMOCLOMOL CITRATE",-4.905,17.9
"ABACAVIR SULFATE",-5.036,15.5
"ZOLEDRONIC ACID",-4.585,9.4
"ENMETAZOBACTAM",-4.607,9.2
"FLUOROESTRADIOL F-18",-5.119,5.3
"FOSLEVODOPA",-4.985,16.3
"DEURUXOLITINIB PHOSPHATE",-5.374,14.7
"ACORAMIDIS HYDROCHLORIDE",-4.608,17.5
"FOSCARBIDOPA",-4.949,19.7
"AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE",-3.443,3.7
"VENLAFAXINE BESYLATE",-4.368,12.3
"AMPHETAMINE/DEXTROAMPHETAMINE",-3.443,3.6
"ENTECAVIR",-5.130,10.9
"ESOMEPRAZOLE MAGNESIUM",-5.576,18.3
"CIDOFOVIR",-5.005,16.5
"RITLECITINIB TOSYLATE",-5.215,14.0
"NALMEFENE HYDROCHLORIDE DIHYDRATE",-5.131,9.5
"NALOXONE HYDROCHLORIDE DIHYDRATE",-5.701,7.7
"ZANAMIVIR HYDRATE",-4.660,22.9
"CODEINE PHOSPHATE",-5.508,5.0
"PAROXETINE HYDROCHLORIDE",-4.601,18.9
"VARENICLINE TARTRATE",-4.454,2.9
"RASAGILINE TARTRATE",-3.918,3.7
"ACETYLCYSTEINE LYSINE",-3.935,6.5
"CLOPIDOGREL BESILATE",-5.005,11.1
"LENALIDOMIDE HYDROCHLORIDE MONOHYDRATE",-5.134,5.9
"CLOPIDOGREL HYDROCHLORIDE",-5.005,11.0
"CLOPIDOGREL HYDROBROMIDE",-5.005,10.6
"ESTETROL",-4.958,6.7
