gene,score,direction,meanLFC,LFC_GSE130437,LFC_GSE222367,LFC_GSE229235,consistent
LCN2,0.01680600125440133,Up,1.4165896504205924,3.506475159904703,1.2553076721305878,-0.5120138807735133,False
CPA4,0.01680600125440133,Up,2.041223407661474,0.06960827535397351,6.616122604773588,-0.5620606571431398,False
LMF1,0.01680600125440133,Up,2.1687403463777044,1.0842358308369167,0.15905968600953033,5.2629255222866655,True
ERGIC1,0.016888379422460333,Up,1.2136250052835633,0.9613494750052782,1.22342286883309,1.4561026720123218,True
KIF5C,0.016978486167225616,Up,1.906220723041587,2.1993713952585057,1.7980775005240823,1.7212132733421737,True
SLC4A2,0.01707439019980904,Up,1.0409708943235545,0.8844938920002694,0.9168861551829767,1.3215326357874173,True
TRAF1,0.01709773712939432,Up,1.383338246691807,0.6850327628155802,0.9229424546051769,2.542039522654664,True
MEX3B,0.01716408275087298,Up,1.1677550349261607,-0.289977227139377,1.7315973041386017,2.0616450277792575,False
NBL1,0.01719133767287931,Up,1.72087761086816,0.8679761535613886,2.8254596280485282,1.4691970509945627,True
IFIT2,0.017238265775327253,Up,1.9089371730957971,2.683239654176237,1.933456372582721,1.110115492528434,True
FYN,0.017350656140902143,Up,0.8163660356599226,1.4020791451124355,3.4890305625447953,-2.442011600677463,False
CLMP,0.01753526966677218,Up,1.230145185612711,-1.0976147551779645,5.18981927575035,-0.4017689637342517,False
MX2,0.01753526966677218,Up,-0.33456502604671456,3.257291101649533,1.0832428086295185,-5.344228988419196,False
ABTB1,0.017569155898650768,Up,1.3164291574741587,0.8008537391411673,1.2162477311572255,1.9321860021240833,True
PRUNE2,0.017600939233407508,Up,1.2426801682253217,1.595082727216542,2.8128600872312672,-0.6799023097718442,False
ANXA2,0.017600939233407508,Up,0.7341636811521249,1.06724189278424,2.640044242604971,-1.5047950919328361,False
SP100,0.017789789804040796,Up,1.5830516570210837,1.9705703844628577,0.947282646792901,1.831301939807492,True
ATP6V1FNB,0.01795246956606187,Up,0.8829766510476446,0.9517963800574015,0.683186295591354,1.0139472774941782,True
SEMA3B,0.01802495589686928,Up,1.8900600224953141,1.079212846583448,1.6649843847686112,2.9259828361338838,True
TNNT1,0.01812190749188011,Up,2.6390512611749206,2.254239840097526,1.833177662259488,3.829736281167748,True
OSBPL6,0.018194848892636725,Up,1.3378903054151614,1.0368903653078168,1.2271439305127354,1.7496366204249325,True
KIAA1217,0.0182644192186735,Up,0.3719623365733411,0.9870836456645767,-2.5067657649850386,2.6355691290404852,False
SERPINE2,0.0182644192186735,Up,1.7021509250541673,0.5992162677973484,4.981256132732886,-0.474019625367732,False
BCAS1,0.0182644192186735,Up,2.011408118205647,3.465157675246808,-0.890485444316767,3.4595521236868993,False
JCAD,0.018292408196913645,Up,1.3119683517022311,0.8826220399854443,1.5069773780089053,1.5463056371123434,True
OAS3,0.01829815687819421,Up,1.2284783300411353,2.263907242963979,-2.4373369142177492,3.858864661377176,False
KIAA0040,0.018362189799776045,Up,0.058634145270747874,1.625432034909941,-3.6027503597510484,2.153220760653351,False
CAPN15,0.01841484693649215,Up,1.0665301160570042,1.025520666423822,0.7809110684622849,1.3931586132849059,True
CECR2,0.01842633088729126,Up,0.6642081078087081,1.6242017079047795,-2.632267541456648,3.000690156977993,False
SLC35D2,0.018513190371133047,Up,0.7506892966988171,0.8101372999254153,0.7013498434127126,0.7405807467583237,True
SMARCD3,0.01855493748262522,Up,1.1430049529268766,1.1762738581575862,2.686900207363328,-0.43415920674028396,False
ADAMTS17,0.018878345518603262,Up,1.2207234032853134,1.1865836245302515,2.020589917040712,0.454996668284977,True
UBE3C,0.018910065407830648,Up,0.8517243893249956,0.430623374051066,0.8649508559517626,1.259598937972158,True
SLC35F6,0.018960069962152465,Up,1.3474579061084961,1.170673697238356,1.229198668301394,1.6425013527857388,True
MRC2,0.01899344991979238,Up,1.7094483802848577,1.0720828267849165,5.072357016775365,-1.0160947027057088,False
SFXN3,0.019035241958346296,Up,0.9641809635124133,0.4953228216050623,0.7302433800795055,1.6669766888526723,True
PIP4P2,0.01906034337308219,Up,1.0164575695013216,0.686678477573506,1.182855311952533,1.1798389189779261,True
NPAS2,0.019139016260552685,Up,1.0779908509494158,1.6248832823754191,1.961564814973626,-0.35247554450079777,False
TTLL3,0.019160969703704317,Up,1.0556324599147542,0.7179620900703135,0.7297089703687965,1.719226319305153,True
