gene,log2FC,t,P,FDR,AveExpr,sig
IL1RN,2.5803810887319125,32.72056790742617,3.95020097185218e-10,6.028779548453963e-08,2.1859483431085422,Up
ZNF486,-2.641317377178437,-32.46901938206104,4.211893821205588e-10,6.356615428376655e-08,2.3844950340742606,Down
HNF4G,3.2726926320907417,32.42876006033757,4.255550532493452e-10,6.356615428376655e-08,1.6871426139134733,Up
HLA-B,2.5996229800605075,32.02493918109615,4.722601423188559e-10,6.98000490347269e-08,5.25764776493879,Up
LRP2,3.086075204905712,31.97167923144077,4.788373270823304e-10,7.003494697461459e-08,1.8736980325888795,Up
GRHL3,2.610238635048705,31.72033102093479,5.112919779931057e-10,7.397358281175718e-08,2.6243995400301054,Up
RAI14,2.494209968267258,31.68311700587509,5.16303049323567e-10,7.397358281175718e-08,3.0611137585940718,Up
NPC1L1,3.459504880808747,31.60354811603388,5.272028051144119e-10,7.477226855163088e-08,2.0392000238166705,Up
CPQ,3.3584176504838066,31.534557711378042,5.368620802632215e-10,7.538080468975892e-08,2.289202319305448,Up
STAT6,4.968390359608344,31.380097647933724,5.592139309067107e-10,7.728289044818283e-08,4.389003954335199,Up
SOX11,3.292425224024098,31.36524924469514,5.614169094590591e-10,7.728289044818283e-08,2.012944626172975,Up
BEX4,2.8188056083740114,31.288043280721364,5.730291531602639e-10,7.811555669440063e-08,2.9926707810857276,Up
HOXC10,2.3105258499503507,31.190066927204626,5.881540203116119e-10,7.940644806918598e-08,1.4611894233241536,Up
FUT9,-2.3705766674231246,-31.058974355043944,6.090943283040493e-10,8.14504139401634e-08,3.0081327975128214,Down
SHFL,2.577782456939015,30.922066255605515,6.318581590329487e-10,8.297299478378553e-08,3.5976822812171623,Up
ZNF300,2.9065928779577086,30.901693959016814,6.353261181840145e-10,8.297299478378553e-08,1.5287652808296823,Up
SULF1,-4.2514007811972,-30.884856899875828,6.382083495939632e-10,8.297299478378553e-08,4.861414293657924,Down
KLK8,3.0906165641999723,30.831379239979405,6.474603030639516e-10,8.305483265784777e-08,1.9733845832608043,Up
SLC6A14,-3.071315318226564,-30.80824729309845,6.515086702196854e-10,8.305483265784777e-08,6.704254976936364,Down
IGDCC3,-2.753703608805779,-30.749007638786633,6.620060335918838e-10,8.305483265784777e-08,1.7418795472562403,Down
RNF183,2.623959857142945,30.74625442917474,6.624984871219251e-10,8.305483265784777e-08,1.4122310471338049,Up
SPOCK1,2.9354693937413474,30.696268318523135,6.715108978225514e-10,8.343968598518977e-08,3.8936208759583253,Up
ACTL8,3.071102425609692,30.58333224034889,6.923823986525308e-10,8.527843210070339e-08,2.0003840312978114,Up
HS3ST5,3.204290957249973,30.29878051690954,7.482626193213323e-10,9.135961250339848e-08,1.753592848614309,Up
AUTS2,2.2755490473108844,30.226766752526846,7.631926675636219e-10,9.237464339287378e-08,2.0158214377519923,Up
TNFSF10,2.7939976987833317,30.19571068267717,7.697338705908577e-10,9.237464339287378e-08,3.1974775927066523,Up
SLC6A17,2.4999118367686113,30.15049109596698,7.793706908696173e-10,9.273850737712115e-08,1.302008843320337,Up
EPHA7,-2.238739636491764,-30.097019389536662,7.909406853796472e-10,9.278809038223212e-08,4.364650560195783,Down
OAS3,2.263907242963979,30.087575008194957,7.930041197826262e-10,9.278809038223212e-08,7.821864158662009,Up
MAB21L4,2.6497567165214844,30.032588968691424,8.051378517518795e-10,9.342926096238132e-08,1.8503200773031894,Up
TMEM178A,2.3626455490006384,29.873473242346904,8.41435905994578e-10,9.684099636122844e-08,2.287724446823574,Up
VCAN,2.715475912582944,29.83922493151993,8.494859537570054e-10,9.697262013578953e-08,1.380667849280618,Up
RHOBTB3,-3.047924843595145,-29.66068421125499,8.92871928470128e-10,1.0110334473910538e-07,7.974633759955636,Down
PROS1,3.0515870218195125,29.59845621119944,9.085715771080974e-10,1.0131545937838453e-07,2.71300882288631,Up
TMEM139,2.5691669050594492,29.596082436948848,9.09176545949466e-10,1.0131545937838453e-07,1.8874060409966151,Up
ANK2,2.7405555176975622,29.455857787604053,9.457258759702466e-10,1.0423061020771644e-07,1.562792027415261,Up
STUM,3.1334459983180767,29.43917366607812,9.501829005475183e-10,1.0423061020771644e-07,1.889732876005522,Up
FKBP10,3.4317610526916864,29.401887965807312,9.60228632857901e-10,1.0451604832525416e-07,2.5530375825938103,Up
CDCA7,-2.821445907217297,-29.316815552045654,9.83597094979625e-10,1.0468124972403053e-07,3.7570964943253906,Down
KIF14,-2.30248614350897,-29.24705067673353,1.0032359278987102e-09,1.0468124972403053e-07,5.544885140597916,Down
USP18,2.5768591571591597,29.243002441271635,1.0043888974939765e-09,1.0468124972403053e-07,4.015029457140455,Up
CEACAM1,2.6243386855407533,29.224941309508154,1.009550938082698e-09,1.0468124972403053e-07,1.66598533272031,Up
ALDH1A3,2.6769380119481454,29.218180563685173,1.011490849287935e-09,1.0468124972403053e-07,3.3232514639941937,Up
ARHGEF38,2.493733483646087,29.18220825212935,1.0218830142112302e-09,1.0468124972403053e-07,1.971296032461759,Up
MARCKS,4.521650553489169,29.165886196017983,1.026637689414212e-09,1.0468124972403053e-07,6.018138824790625,Up
UBE2L6,4.391132107680109,29.159588610897867,1.0284788098946205e-09,1.0468124972403053e-07,4.481020490148521,Up
NFIA,2.9437473632217643,29.147526660649568,1.0320154810408214e-09,1.0468124972403053e-07,1.8234464976861569,Up
NTNG1,2.2799293884270093,29.132974618321402,1.0363003854170105e-09,1.0468124972403053e-07,1.6073242290662264,Up
ECM1,2.658618947545137,29.070206581896638,1.0550120901182594e-09,1.0581017683821771e-07,2.6913365857661717,Up
