name,source,smiles,MW,LogP,HBD,HBA,TPSA,RotB,QED,heavy,Lipinski_viol
BROMAZEPAM,CHEMBL277062,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,316.15799999999996,2.6336000000000004,1,3,54.35,1,0.8791762540409916,19,0
BIFONAZOLE,CHEMBL277535,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,310.40000000000003,5.187800000000005,0,1,17.82,4,0.5071355444295608,24,1
SAQUINAVIR,CHEMBL114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,670.855,3.092400000000003,5,7,166.75,12,0.19750207121883465,49,1
INDINAVIR ANHYDROUS,CHEMBL115,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,613.8030000000003,2.8669000000000016,4,7,118.03000000000002,11,0.2628234200956571,45,1
NELFINAVIR,CHEMBL584,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,567.7960000000003,4.747620000000004,4,6,101.9,9,0.326500977362608,40,1
AMPRENAVIR,CHEMBL116,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,505.63700000000034,2.4028,3,7,131.19,11,0.39974037477190066,35,1
TRIAMTERENE,CHEMBL585,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,253.26900000000003,0.8334000000000001,3,7,129.62,1,0.5851791059173755,19,0
CELECOXIB,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,381.3790000000001,3.5139200000000006,1,3,77.98,3,0.7541053298167572,26,0
TRIMETREXATE,CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,369.4250000000001,2.740520000000001,3,8,117.54,6,0.6069831028443925,27,0
FENOLDOPAM,CHEMBL588,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,305.76099999999997,2.734400000000001,4,4,72.72,1,0.6113669325066001,21,0
ROPINIROLE,CHEMBL589,CCCN(CCC)CCc1cccc2c1CC(=O)N2,260.3809999999999,2.845700000000001,1,2,32.34,7,0.8173315946878695,19,0
MENADIONE,CHEMBL590,CC1=CC(=O)c2ccccc2C1=O,172.18299999999996,2.0119000000000002,0,2,34.14,0,0.5994834910884169,13,0
LEVORPHANOL,CHEMBL592,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,257.377,3.080400000000002,1,2,23.47,0,0.7718143750897628,19,0
DELAVIRDINE,CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,456.5720000000002,2.7171000000000003,3,6,110.43,6,0.5260863337385334,32,0
EMEDASTINE,CHEMBL594,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,302.422,2.2146999999999997,0,4,33.53,5,0.7931098529653791,22,0
PIOGLITAZONE,CHEMBL595,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,356.44700000000006,3.159600000000001,1,5,68.28999999999999,7,0.8252539098127764,25,0
FENTANYL,CHEMBL596,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,336.47900000000004,4.136700000000004,0,2,23.550000000000004,6,0.7914868412582013,25,0
MARALIXIBAT CHLORIDE,CHEMBL17879,CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O,674.9720000000001,6.624500000000008,1,6,70.08,13,0.20564430890921528,48,2
LOFEXIDINE,CHEMBL17860,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,259.13599999999997,2.7624000000000004,1,3,33.62,3,0.9050107141126126,16,0
PHENTOLAMINE,CHEMBL597,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,281.35900000000004,2.840420000000001,2,4,47.86,4,0.9056709671480019,21,0
PLERIXAFOR,CHEMBL18442,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,502.7960000000004,0.41580000000000644,6,8,78.66,4,0.35377837598173745,36,2
TOLOXATONE,CHEMBL18116,Cc1cccc(N2CC(CO)OC2=O)c1,207.22899999999998,1.31252,1,3,49.77,2,0.7950896625084043,15,0
MELOXICAM,CHEMBL599,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,351.4090000000001,1.95092,2,6,99.59999999999998,2,0.8613672076779288,23,0
ACETYLCYSTEINE,CHEMBL600,CC(=O)N[C@@H](CS)C(=O)O,163.198,-0.4945,3,3,66.4,3,0.49154271343709494,10,0
NALTREXONE,CHEMBL19019,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,341.4070000000001,1.5253999999999999,2,5,70.0,2,0.8536215236957835,25,0
ZAFIRLUKAST,CHEMBL603,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,575.6870000000001,5.695920000000005,2,6,115.73,8,0.2786932991732298,41,2
"CEFPROZIL ANHYDROUS, (E)-",CHEMBL276568,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,389.4330000000001,0.7067000000000008,4,6,132.96,5,0.5450750848987173,27,0
