,MAPK8IP2,NCKAP5,FADS3,PID1,PARP12,RNF152,CASP4,MAL2,SH3TC1,LAMB1,MYADM,MARCKS,LGALS3BP,SLC1A1
0.0033841956662306956,-0.0614584692535585,0.0,-0.058798250961108404,-0.0,-0.17876900520789152,-0.0,-0.2676125667922674,0.0,0.2060931328346787,0.24497046677734358,-0.06452958637355409,-0.02344687926654291,0.04789022044444968,0.0
0.0029197986328143768,-0.0691658004526445,0.0,-0.06555650762267054,-0.0,-0.1833686955992581,-0.0025307513020849425,-0.28030126399822913,0.0,0.21535080132308956,0.25861079552614763,-0.07093973624090849,-0.03227490487962527,0.05911526878707674,0.0
0.002519128589772136,-0.07578643105553079,0.0,-0.07182722397286233,-0.0,-0.18697995682446758,-0.007451032080823506,-0.2916083730721323,0.0,0.2232279657720915,0.2714734273671342,-0.07656004619825593,-0.04023341254494362,0.06831380859391445,0.0
0.002173440586103182,-0.08152705185107097,0.0,-0.0772733976357201,-0.0,-0.19008800710176013,-0.011709330001438705,-0.30133031103158103,0.0,0.2300549471168651,0.2826505284230373,-0.08141406983920885,-0.04718378280998378,0.0763223490469335,0.0
0.00187518969873143,-0.08650178848045849,0.0,-0.08199986992470444,-0.0,-0.19276359482379657,-0.0153934535871236,-0.3096935199215708,0.0,0.23596884107747676,0.29235414657445413,-0.08560588672908066,-0.05324357561070108,0.08328690013161669,0.0
0.001617866358395838,-0.09021452032207716,0.0,-0.08590871879026499,-0.0,-0.195467829538664,-0.019304597809538332,-0.3167131009835035,0.0033729922527791873,0.24193249962066582,0.3013272259653495,-0.08923527481481094,-0.05839542781675391,0.08932679781916608,0.0
0.0013958542729835546,-0.09334849545836253,0.0,-0.08927341444689339,-0.0,-0.19785379558046962,-0.02278677096067919,-0.322728283105518,0.006739822665715824,0.247208764053696,0.3091742854465654,-0.09236968248924585,-0.0628581103820785,0.09457668197502901,0.0
0.0012043078473665478,-0.09619044270659262,0.0,-0.09217981557238118,-0.0,-0.19976787867113682,-0.026011662854923755,-0.3284891904001438,0.009682042985893273,0.2517538964785135,0.31575030964714157,-0.09498167836819384,-0.06639892433671732,0.09914684770207094,0.0018676563917024483
0.0010390464243295228,-0.09865503324792722,0.0,-0.09469640572165701,-0.0,-0.20140762907869625,-0.028817376620218636,-0.3334909958384398,0.012231527139625829,0.25568327786363454,0.32142571153518573,-0.09722962340803726,-0.06944629726872074,0.10311533446070105,0.0036198039026608337
0.0008964630383109761,-0.10078336789319556,0.0,-0.09687500925913496,-0.0,-0.2028219760875993,-0.031243513929956307,-0.3377963751055912,0.014437725439261632,0.25908056938241236,0.3263360263739761,-0.09917028243292961,-0.07208891164527421,0.10655794684764314,0.0051303792567607715
0.0007734456904332494,-0.10262115131705969,0.0,-0.09876017156233552,-0.0,-0.20404196479408324,-0.03334085435504881,-0.34150347694147354,0.0163461199529647,0.2620170034256961,0.33058292339091233,-0.1008456018796089,-0.07437896596772635,0.1095422372561526,0.006432842207175599
0.0006673094265848008,-0.10420790384025036,0.0,-0.10039077863215991,-0.0,-0.2050943615844625,-0.035153505000181225,-0.34469629266945784,0.017996345782441064,0.26455448024502026,0.3342548657577394,-0.10229178875177596,-0.0763623052610083,0.11212760405676143,0.007555973610263979
0.0005757377361033555,-0.10557934617267976,3.511696488040281e-05,-0.10179239952334314,-0.0,-0.20599993290529553,-0.03671639594939943,-0.3474470548742428,0.019424036987242307,0.26674866845020867,0.33741919157473804,-0.10354035226453719,-0.07807763423141895,0.1143693324040327,0.008524188464937724
0.0004967319920383197,-0.1067794456397232,0.0004726710360166893,-0.10290973716310628,-0.0,-0.20675540130365894,-0.038027966274894805,-0.34981643810088364,0.0206713182409843,0.26866635618680423,0.340041290364819,-0.1046192857050203,-0.07954508285759487,0.11634540937992986,0.009354214135073771
0.0004285678294848863,-0.10781582162089713,0.0008462649974511259,-0.10386733083305627,-6.861449295795613e-05,-0.20741639155179856,-0.039153323301769974,-0.35184380093058465,0.021744223993155922,0.27032223123445204,0.34233723963775686,-0.10554841512461142,-0.08080111071411555,0.1180431337313788,0.01006680221071025
0.00036975750991133583,-0.10871499673520364,0.0011368652103553797,-0.10462903823445886,-0.000677756944752942,-0.20806169051927742,-0.040065108503045094,-0.3534760402347114,0.02263086004979607,0.27175039116950334,0.3445623794075981,-0.10633503762407777,-0.0817794059799131,0.11941601601639489,0.01065620890461087
0.00031901745005023324,-0.10949091607652002,0.0013875601879619317,-0.1052870317593089,-0.001205900746033601,-0.20861915590941452,-0.040852183765888256,-0.3548821050030661,0.023396584471153,0.2729834616124819,0.34648502730998243,-0.10701376793398534,-0.08262451553651277,0.12060280105968876,0.011164402392693265
0.00027524020664504423,-0.11016059235729982,0.001603857533073081,-0.10585551877066317,-0.0016630465178407204,-0.20910043874534925,-0.04153169819440243,-0.35609398233177025,0.02405784528711202,0.27404813743052603,0.3481459860528539,-0.10759942817007226,-0.0833546836911615,0.1216286345547554,0.011602709251220427
0.00023747030559637962,-0.1107385465748213,0.0017904766311109457,-0.10634658219723336,-0.0020585619026188004,-0.20951591335509395,-0.042118299541697574,-0.35713863496661874,0.024628821586238817,0.2749673191935086,0.3495806235039859,-0.10810477396429276,-0.08398542206398513,0.12251512105494965,0.011980758246903589
0.0002048833879592399,-0.11123732118598897,0.0019514893268931916,-0.10677069689713552,-0.002400624955144211,-0.2098745505364934,-0.04262465347495594,-0.3580392449585187,0.0251217861275461,0.2757608171529185,0.35081959082730885,-0.1085408140521744,-0.08453017945046513,0.1232810211862958,0.012306846701235757
0.000176768217635613,-0.11166774837391312,0.0020904088537242074,-0.10713693803768477,-0.002696362452195803,-0.2101841049360203,-0.04306170878142992,-0.35881575341012695,0.02554735705079733,0.27644576233980145,0.35188943539542883,-0.1089170492890175,-0.08500060860275396,0.12394261202586795,0.012588125969721893
0.0001525111580656203,-0.11203918209519244,0.002210266474527157,-0.1074531636973707,-0.0029519761454817697,-0.21045127825253768,-0.04343892768907658,-0.35948532040219927,0.025914717472161855,0.2770369643085242,0.3528131382344427,-0.10924167897709075,-0.08540680021178143,0.12451400516678747,0.01283076061363302
0.00013158277910831065,-0.11235969891209922,0.0023136776023917204,-0.10772617476830904,-0.0031728562459551126,-0.21068186094353814,-0.0437644858828061,-0.3600627179542221,0.026231806821295688,0.27754722227672624,0.35361058412038027,-0.10952177898669806,-0.08575748791145177,0.125007426771865,0.013040065227191755
0.00011352630179633701,-0.11263627174995669,0.002402898847640172,-0.107961854693941,-0.0033636827426478354,-0.21088085516910474,-0.04404544605898324,-0.3605606661827829,0.026505487329028278,0.2779875954371345,0.35429897199003374,-0.10976345552935914,-0.08606022750238243,0.12543346345457812,0.013220622119239335
9.794762876184741e-05,-0.11287492018215968,0.002479877238174007,-0.10816529136887605,-0.003528515365285005,-0.21105258138348063,-0.04428790840821936,-0.36099012118066215,0.02674168872294288,0.278367637576595,0.35489317266105197,-0.1099719779098972,-0.08632155334528369,0.12580127762876472,0.013376382573785855
8.450674273948933e-05,-0.11308084037589856,0.00254629268784071,-0.1083408833158782,-0.0036708731048951367,-0.21120077069208942,-0.044497141009115046,-0.3613605217863885,0.026945533856276124,0.27869560054870435,0.35540604018850946,-0.11015189312791672,-0.08654711461466327,0.12611879572221155,0.013510754014178693
